purchase_order_id,supplier_id,product_id,order_date,expected_delivery_date,quantity_ordered,unit_cost,purchase_order_status
PO000058,SUP00019,PROD00467,2026-04-11,2026-06-09,737,32.21,Received
PO000059,SUP00031,PROD00300,2025-06-20,2025-07-22,534,70.93,Received
PO000060,SUP00017,PROD00022,2025-05-29,2025-07-24,97,69.7,Received
PO000061,SUP00017,PROD00094,2026-01-05,2026-03-02,745,82.1,Received
PO000062,SUP00019,PROD00191,2025-01-05,2025-03-05,842,45.16,In Transit
PO000063,SUP00020,PROD00074,2025-05-08,2025-06-30,165,20.22,Received
PO000064,SUP00018,PROD00238,2025-04-18,2025-05-26,618,84.52,Received
PO000065,SUP00022,PROD00470,2026-01-28,2026-02-28,249,103.24,Received
PO000066,SUP00035,PROD00444,2026-07-13,2026-07-16,807,109.39,Received
PO000067,SUP00022,PROD00006,2025-09-23,2025-10-24,711,61.56,In Transit
PO000068,SUP00036,PROD00179,2025-07-24,2025-08-01,604,97.28,Received
PO000069,SUP00016,PROD00443,2025-06-15,2025-08-04,798,79.89,Received
PO000070,SUP00002,PROD00028,2025-12-31,2026-02-22,257,19.07,Received
PO000071,SUP00010,PROD00034,2025-09-19,2025-11-06,234,4.51,Received
PO000072,SUP00018,PROD00463,2025-06-12,2025-07-20,30,17.04,Received
PO000073,SUP00009,PROD00455,2026-02-16,2026-03-27,210,73.64,In Transit
PO000074,SUP00011,PROD00449,2026-04-16,2026-05-27,121,117.78,Received
PO000075,SUP00002,PROD00060,2025-12-28,2026-02-19,20,28.14,Received
PO000076,SUP00029,PROD00446,2026-03-27,2026-04-25,580,49.49,Received
PO000077,SUP00030,PROD00439,2025-09-08,2025-10-08,483,35.85,In Transit
PO000078,SUP00032,PROD00146,2026-01-03,2026-02-05,209,119.82,In Transit
PO000079,SUP00037,PROD00055,2025-11-10,2025-11-16,215,26.05,Received
PO000080,SUP00003,PROD00254,2025-04-25,2025-05-30,681,25.18,Received
PO000081,SUP00024,PROD00265,2026-04-14,2026-05-18,846,108.21,Received
PO000082,SUP00009,PROD00340,2026-05-24,2026-07-02,911,70.3,Received
PO000083,SUP00024,PROD00130,2026-07-08,2026-08-11,968,50.93,Received
PO000084,SUP00017,PROD00022,2026-02-21,2026-04-18,357,69.7,Received
PO000085,SUP00006,PROD00167,2026-04-10,2026-05-28,743,113.33,Received
PO000086,SUP00013,PROD00186,2025-07-11,2025-08-15,539,91.13,In Transit
PO000087,SUP00032,PROD00286,2026-04-20,2026-05-23,221,90.58,Received
PO000088,SUP00035,PROD00447,2025-08-30,2025-09-02,758,92.72,Received
PO000089,SUP00001,PROD00175,2025-07-29,2025-09-03,858,17.42,Received
PO000090,SUP00033,PROD00349,2025-07-31,2025-08-02,588,114.5,Received
PO000091,SUP00010,PROD00082,2026-03-24,2026-05-11,303,91.06,Received
PO000092,SUP00031,PROD00404,2026-02-01,2026-03-05,980,98.2,Received
PO000093,SUP00008,PROD00250,2025-02-08,2025-03-29,549,109.34,Received
PO000094,SUP00019,PROD00191,2026-06-08,2026-08-06,63,45.16,Received
PO000095,SUP00001,PROD00014,2025-10-20,2025-11-25,332,101.63,Received
PO000096,SUP00008,PROD00073,2025-02-05,2025-03-26,803,43.32,Received
PO000097,SUP00015,PROD00097,2025-04-10,2025-06-06,644,115.57,Received
PO000098,SUP00011,PROD00327,2026-02-23,2026-04-05,572,117.3,In Transit
PO000099,SUP00026,PROD00231,2025-02-06,2025-03-03,478,19.42,In Transit
PO000100,SUP00005,PROD00351,2026-03-26,2026-05-13,754,106.17,Cancelled
PO000101,SUP00026,PROD00161,2026-03-31,2026-04-25,107,108.79,Received
PO000102,SUP00039,PROD00116,2025-10-16,2025-10-21,615,17.71,Received
PO000103,SUP00017,PROD00451,2026-07-22,2026-09-16,640,77.45,In Transit
PO000104,SUP00032,PROD00206,2025-09-26,2025-10-29,297,22.85,Received
PO000105,SUP00017,PROD00224,2025-03-25,2025-05-20,753,51.76,Received
PO000106,SUP00016,PROD00443,2026-01-20,2026-03-11,572,79.89,In Transit
PO000107,SUP00038,PROD00417,2025-02-03,2025-02-09,311,33.0,Received
PO000108,SUP00007,PROD00015,2025-02-03,2025-03-18,131,59.5,In Transit
PO000109,SUP00024,PROD00038,2025-08-17,2025-09-20,286,38.59,In Transit
PO000110,SUP00038,PROD00377,2025-11-22,2025-11-28,42,27.59,Received
PO000111,SUP00005,PROD00068,2026-05-15,2026-07-02,802,34.3,Received
PO000112,SUP00023,PROD00242,2025-01-14,2025-02-11,837,72.81,Received
PO000113,SUP00017,PROD00022,2025-09-29,2025-11-24,791,69.7,Received
PO000114,SUP00004,PROD00234,2025-04-06,2025-05-22,227,90.25,Received
PO000115,SUP00032,PROD00146,2025-04-18,2025-05-21,374,119.82,In Transit
PO000116,SUP00023,PROD00459,2026-06-11,2026-07-09,993,25.39,Received
PO000117,SUP00035,PROD00381,2025-06-22,2025-06-25,136,41.86,Received
PO000118,SUP00040,PROD00445,2026-04-23,2026-04-30,604,111.16,Received
PO000119,SUP00035,PROD00331,2025-06-29,2025-07-02,657,90.19,Received
PO000120,SUP00018,PROD00238,2025-09-03,2025-10-11,221,84.52,Received
PO000121,SUP00038,PROD00354,2025-10-08,2025-10-14,747,79.11,Received
PO000122,SUP00005,PROD00301,2026-05-16,2026-07-03,963,38.81,Received
PO000123,SUP00008,PROD00178,2025-01-06,2025-02-24,267,8.42,Received
PO000124,SUP00030,PROD00471,2025-12-28,2026-01-27,68,15.12,Received
PO000125,SUP00016,PROD00369,2026-02-10,2026-04-01,227,72.28,Received
PO000126,SUP00002,PROD00350,2025-03-01,2025-04-23,452,62.26,Received
PO000127,SUP00002,PROD00325,2026-01-07,2026-03-01,776,42.02,Received
PO000128,SUP00024,PROD00019,2026-01-11,2026-02-14,861,53.42,In Transit
PO000129,SUP00012,PROD00438,2025-01-06,2025-02-17,744,29.08,Received
PO000130,SUP00013,PROD00422,2026-04-28,2026-06-02,241,75.77,In Transit
PO000131,SUP00015,PROD00023,2025-12-09,2026-02-04,499,45.42,Received
PO000132,SUP00003,PROD00165,2025-06-15,2025-07-20,447,6.67,Received
PO000133,SUP00026,PROD00490,2025-07-22,2025-08-16,353,119.83,In Transit
PO000134,SUP00018,PROD00062,2025-07-07,2025-08-14,405,2.83,Received
PO000135,SUP00039,PROD00479,2026-04-17,2026-04-22,770,42.52,Received
PO000136,SUP00007,PROD00245,2026-06-23,2026-08-05,614,62.66,In Transit
PO000137,SUP00029,PROD00307,2026-05-18,2026-06-16,978,115.49,Received
PO000138,SUP00008,PROD00379,2025-07-26,2025-09-13,318,81.91,Received
PO000139,SUP00003,PROD00091,2025-04-12,2025-05-17,373,35.39,Cancelled
PO000140,SUP00035,PROD00447,2025-03-05,2025-03-08,340,92.72,Received
PO000141,SUP00003,PROD00254,2026-06-27,2026-08-01,432,25.18,Received
PO000142,SUP00014,PROD00468,2025-10-10,2025-12-05,740,95.69,Received
PO000143,SUP00017,PROD00094,2025-04-30,2025-06-25,332,82.1,Received
PO000144,SUP00031,PROD00464,2025-09-20,2025-10-22,300,91.99,Received
PO000145,SUP00026,PROD00161,2025-04-04,2025-04-29,494,108.79,Cancelled
PO000146,SUP00011,PROD00449,2025-06-08,2025-07-19,724,117.78,Received
PO000147,SUP00032,PROD00279,2026-02-09,2026-03-14,647,24.11,Received
PO000148,SUP00027,PROD00063,2025-03-17,2025-04-26,172,83.07,In Transit
PO000149,SUP00033,PROD00196,2025-09-24,2025-09-26,959,71.31,Received
PO000150,SUP00036,PROD00201,2025-05-13,2025-05-21,841,77.04,Received
PO000151,SUP00014,PROD00267,2025-05-15,2025-07-10,697,91.02,Received
PO000152,SUP00007,PROD00245,2026-04-15,2026-05-28,438,62.66,In Transit
PO000153,SUP00010,PROD00034,2025-06-26,2025-08-13,499,4.51,Received
PO000154,SUP00039,PROD00338,2025-02-27,2025-03-04,365,103.48,Received
PO000155,SUP00038,PROD00187,2025-12-07,2025-12-13,596,11.35,Received
PO000156,SUP00021,PROD00370,2026-03-18,2026-04-15,154,13.56,In Transit
PO000157,SUP00037,PROD00403,2026-06-01,2026-06-07,581,90.52,Received
PO000158,SUP00027,PROD00419,2026-06-17,2026-07-27,233,100.69,Received
PO000159,SUP00005,PROD00301,2025-03-29,2025-05-16,701,38.81,In Transit
PO000160,SUP00019,PROD00162,2025-10-08,2025-12-06,662,114.6,Received
PO000161,SUP00025,PROD00272,2025-05-17,2025-06-24,930,100.94,Received
PO000162,SUP00027,PROD00419,2026-05-10,2026-06-19,790,100.69,In Transit
PO000163,SUP00023,PROD00359,2025-01-13,2025-02-10,68,119.24,Received
PO000164,SUP00007,PROD00352,2025-07-17,2025-08-29,742,42.83,Received
PO000165,SUP00037,PROD00334,2026-02-19,2026-02-25,537,98.35,Received
PO000166,SUP00004,PROD00306,2025-03-14,2025-04-29,332,93.92,Received
PO000167,SUP00004,PROD00001,2026-01-12,2026-02-27,379,96.92,Received
PO000168,SUP00037,PROD00220,2025-09-18,2025-09-24,997,56.26,In Transit
PO000169,SUP00039,PROD00319,2025-03-13,2025-03-18,933,24.36,In Transit
PO000170,SUP00008,PROD00489,2025-07-01,2025-08-19,289,20.0,Received
PO000171,SUP00035,PROD00447,2025-10-09,2025-10-12,444,92.72,Received
PO000172,SUP00034,PROD00004,2025-06-01,2025-06-03,79,67.28,Received
PO000173,SUP00017,PROD00451,2025-02-13,2025-04-10,822,77.45,In Transit
PO000174,SUP00018,PROD00243,2026-05-30,2026-07-07,444,85.88,In Transit
PO000175,SUP00010,PROD00105,2025-02-22,2025-04-11,32,68.47,Received
PO000176,SUP00008,PROD00178,2026-07-04,2026-08-22,110,8.42,Received
PO000177,SUP00024,PROD00265,2025-12-16,2026-01-19,649,108.21,In Transit
PO000178,SUP00021,PROD00198,2026-06-26,2026-07-24,321,29.48,Received
PO000179,SUP00016,PROD00287,2025-10-06,2025-11-25,842,92.82,Received
PO000180,SUP00040,PROD00054,2026-05-02,2026-05-09,919,119.87,In Transit
PO000181,SUP00009,PROD00358,2026-04-04,2026-05-13,687,114.31,Received
PO000182,SUP00014,PROD00280,2026-02-22,2026-04-19,243,74.62,Received
PO000183,SUP00023,PROD00273,2026-07-11,2026-08-08,655,57.25,Received
PO000184,SUP00037,PROD00156,2025-06-14,2025-06-20,269,88.3,In Transit
PO000185,SUP00004,PROD00478,2025-09-15,2025-10-31,524,38.38,Received
PO000186,SUP00040,PROD00065,2026-06-09,2026-06-16,468,40.42,Received
PO000187,SUP00021,PROD00120,2025-09-19,2025-10-17,25,109.58,Received
PO000188,SUP00028,PROD00173,2025-03-07,2025-04-02,968,23.74,Received
PO000189,SUP00032,PROD00146,2025-06-29,2025-08-01,399,119.82,Received
PO000190,SUP00023,PROD00353,2025-01-19,2025-02-16,344,110.39,Received
PO000191,SUP00032,PROD00206,2026-03-25,2026-04-27,891,22.85,Received
PO000192,SUP00010,PROD00308,2025-07-19,2025-09-05,111,6.64,In Transit
PO000193,SUP00018,PROD00238,2026-01-26,2026-03-05,260,84.52,Received
PO000194,SUP00011,PROD00316,2025-05-01,2025-06-11,885,16.56,In Transit
PO000195,SUP00033,PROD00475,2026-05-30,2026-06-01,167,15.46,Received
PO000196,SUP00006,PROD00291,2026-06-11,2026-07-29,290,119.54,In Transit
PO000197,SUP00012,PROD00492,2026-01-05,2026-02-16,892,31.38,Received
PO000198,SUP00012,PROD00438,2025-11-23,2026-01-04,176,29.08,Cancelled
PO000199,SUP00010,PROD00082,2026-05-26,2026-07-13,761,91.06,Received
PO000200,SUP00018,PROD00472,2026-03-02,2026-04-09,803,85.1,Received
PO000201,SUP00035,PROD00381,2025-09-26,2025-09-29,239,41.86,Received
PO000202,SUP00033,PROD00500,2025-05-19,2025-05-21,180,5.13,Received
PO000203,SUP00036,PROD00201,2026-05-14,2026-05-22,798,77.04,In Transit
PO000204,SUP00022,PROD00497,2025-09-01,2025-10-02,448,27.32,In Transit
PO000205,SUP00010,PROD00465,2025-12-09,2026-01-26,331,117.7,Received
PO000206,SUP00033,PROD00255,2025-11-03,2025-11-05,265,51.06,Cancelled
PO000207,SUP00003,PROD00067,2025-11-26,2025-12-31,293,90.57,Received
PO000208,SUP00033,PROD00085,2025-08-05,2025-08-07,906,92.8,Received
PO000209,SUP00004,PROD00136,2025-05-08,2025-06-23,576,7.39,Received
PO000210,SUP00030,PROD00425,2025-10-12,2025-11-11,309,107.73,In Transit
PO000211,SUP00013,PROD00186,2026-05-01,2026-06-05,38,91.13,Received
PO000212,SUP00004,PROD00024,2025-12-27,2026-02-11,300,76.24,Received
PO000213,SUP00022,PROD00104,2026-03-14,2026-04-14,513,97.35,In Transit
PO000214,SUP00007,PROD00454,2026-03-12,2026-04-24,233,83.65,Received
PO000215,SUP00032,PROD00328,2025-09-22,2025-10-25,836,46.99,Received
PO000216,SUP00025,PROD00442,2025-03-23,2025-04-30,95,93.16,Received
PO000217,SUP00015,PROD00077,2026-05-04,2026-06-30,683,55.28,Received
PO000218,SUP00003,PROD00144,2026-04-10,2026-05-15,144,69.23,Received
PO000219,SUP00023,PROD00382,2026-06-12,2026-07-10,744,77.26,Received
PO000220,SUP00029,PROD00183,2025-08-15,2025-09-13,763,72.05,Received
PO000221,SUP00018,PROD00463,2025-07-04,2025-08-11,405,17.04,Received
PO000222,SUP00023,PROD00357,2026-06-23,2026-07-21,233,99.69,In Transit
PO000223,SUP00002,PROD00028,2026-06-30,2026-08-22,819,19.07,Received
PO000224,SUP00040,PROD00239,2026-07-22,2026-07-29,460,29.73,Received
PO000225,SUP00003,PROD00091,2026-02-08,2026-03-15,781,35.39,Received
PO000226,SUP00012,PROD00132,2025-12-27,2026-02-07,568,75.66,Cancelled
PO000227,SUP00009,PROD00160,2025-03-22,2025-04-30,254,107.39,Received
PO000228,SUP00032,PROD00039,2026-03-27,2026-04-29,66,91.95,Received
PO000229,SUP00004,PROD00174,2025-04-19,2025-06-04,772,101.09,In Transit
PO000230,SUP00019,PROD00368,2025-06-24,2025-08-22,802,8.19,In Transit
PO000231,SUP00008,PROD00379,2025-04-28,2025-06-16,42,81.91,Received
PO000232,SUP00040,PROD00065,2025-11-01,2025-11-08,624,40.42,Received
PO000233,SUP00033,PROD00475,2025-05-28,2025-05-30,718,15.46,Received
PO000234,SUP00001,PROD00126,2025-07-30,2025-09-04,893,93.41,Received
PO000235,SUP00026,PROD00298,2025-04-11,2025-05-06,703,97.84,Received
PO000236,SUP00023,PROD00098,2025-07-26,2025-08-23,122,65.43,Received
PO000237,SUP00004,PROD00293,2026-05-10,2026-06-25,173,16.96,Received
PO000238,SUP00040,PROD00445,2025-12-26,2026-01-02,558,111.16,Received
PO000239,SUP00008,PROD00390,2025-03-24,2025-05-12,495,84.33,Received
PO000240,SUP00014,PROD00131,2025-05-08,2025-07-03,973,18.56,Received
PO000241,SUP00014,PROD00131,2026-03-07,2026-05-02,935,18.56,Received
PO000242,SUP00014,PROD00389,2025-09-27,2025-11-22,929,20.88,Received
PO000243,SUP00040,PROD00445,2026-01-02,2026-01-09,720,111.16,In Transit
PO000244,SUP00009,PROD00340,2025-06-27,2025-08-05,867,70.3,Received
PO000245,SUP00032,PROD00244,2026-01-09,2026-02-11,311,106.44,Cancelled
PO000246,SUP00040,PROD00499,2026-02-12,2026-02-19,368,77.93,Received
PO000247,SUP00033,PROD00332,2025-09-12,2025-09-14,844,42.21,Received
PO000248,SUP00021,PROD00021,2025-03-15,2025-04-12,1000,34.52,In Transit
PO000249,SUP00012,PROD00132,2026-04-11,2026-05-23,79,75.66,Received
PO000250,SUP00030,PROD00150,2025-10-09,2025-11-08,859,113.6,Received
PO000251,SUP00021,PROD00370,2025-02-06,2025-03-06,534,13.56,Received
PO000252,SUP00024,PROD00019,2025-08-14,2025-09-17,96,53.42,Cancelled
PO000253,SUP00039,PROD00441,2025-11-05,2025-11-10,411,59.28,Received
PO000254,SUP00026,PROD00185,2025-07-03,2025-07-28,162,21.74,Received
PO000255,SUP00009,PROD00160,2026-04-20,2026-05-29,714,107.39,Received
PO000256,SUP00019,PROD00436,2025-05-15,2025-07-13,954,25.77,In Transit
PO000257,SUP00001,PROD00014,2026-03-26,2026-05-01,603,101.63,Received
PO000258,SUP00032,PROD00466,2025-03-28,2025-04-30,577,43.75,Received
PO000259,SUP00024,PROD00373,2026-07-08,2026-08-11,692,39.83,In Transit
PO000260,SUP00010,PROD00258,2025-11-11,2025-12-29,815,29.11,Received
PO000261,SUP00030,PROD00460,2025-05-19,2025-06-18,128,85.83,Received
PO000262,SUP00038,PROD00378,2026-06-07,2026-06-13,264,45.57,Received
PO000263,SUP00024,PROD00265,2025-02-05,2025-03-11,278,108.21,Cancelled
PO000264,SUP00017,PROD00081,2025-11-04,2025-12-30,995,81.15,Received
PO000265,SUP00026,PROD00208,2025-04-28,2025-05-23,180,103.96,Received
PO000266,SUP00019,PROD00145,2025-03-10,2025-05-08,770,51.41,In Transit
PO000267,SUP00017,PROD00224,2026-06-16,2026-08-11,950,51.76,Received
PO000268,SUP00004,PROD00010,2025-04-19,2025-06-04,411,35.43,Received
PO000269,SUP00035,PROD00337,2025-08-31,2025-09-03,902,105.76,Received
PO000270,SUP00007,PROD00429,2025-10-16,2025-11-28,351,92.65,In Transit
PO000271,SUP00011,PROD00083,2025-09-14,2025-10-25,437,95.92,Received
PO000272,SUP00016,PROD00086,2025-12-20,2026-02-08,388,102.57,Received
PO000273,SUP00039,PROD00338,2025-03-21,2025-03-26,82,103.48,Received
PO000274,SUP00002,PROD00123,2025-05-13,2025-07-05,389,10.5,Received
PO000275,SUP00002,PROD00366,2025-08-16,2025-10-08,957,51.94,Received
PO000276,SUP00032,PROD00157,2026-03-11,2026-04-13,775,10.04,In Transit
PO000277,SUP00002,PROD00152,2025-02-13,2025-04-07,891,45.6,Received
PO000278,SUP00004,PROD00001,2025-06-20,2025-08-05,44,96.92,Received
PO000279,SUP00032,PROD00153,2026-01-16,2026-02-18,612,59.19,Received
PO000280,SUP00029,PROD00482,2026-03-22,2026-04-20,233,104.72,Received
PO000281,SUP00007,PROD00015,2026-02-23,2026-04-07,874,59.5,Received
PO000282,SUP00008,PROD00178,2026-04-09,2026-05-28,460,8.42,Received
PO000283,SUP00032,PROD00387,2025-10-20,2025-11-22,455,19.4,Received
PO000284,SUP00010,PROD00042,2025-11-27,2026-01-14,588,37.62,Received
PO000285,SUP00037,PROD00055,2026-02-19,2026-02-25,74,26.05,Received
PO000286,SUP00037,PROD00383,2025-12-31,2026-01-06,318,11.61,Received
PO000287,SUP00030,PROD00137,2025-07-02,2025-08-01,875,20.2,Received
PO000288,SUP00004,PROD00478,2025-06-09,2025-07-25,545,38.38,Received
PO000289,SUP00014,PROD00197,2025-08-30,2025-10-25,354,82.63,Received
PO000290,SUP00010,PROD00105,2026-01-17,2026-03-06,295,68.47,Received
PO000291,SUP00035,PROD00269,2026-05-03,2026-05-06,690,78.61,Received
PO000292,SUP00005,PROD00003,2025-05-31,2025-07-18,496,91.15,Cancelled
PO000293,SUP00003,PROD00254,2025-04-17,2025-05-22,222,25.18,In Transit
PO000294,SUP00009,PROD00106,2025-08-31,2025-10-09,505,28.46,Received
PO000295,SUP00035,PROD00447,2026-04-21,2026-04-24,985,92.72,Received
PO000296,SUP00024,PROD00229,2025-04-11,2025-05-15,610,85.21,Received
PO000297,SUP00006,PROD00113,2025-09-03,2025-10-21,103,56.91,Received
PO000298,SUP00006,PROD00112,2025-04-01,2025-05-19,380,15.08,Received
PO000299,SUP00029,PROD00307,2026-02-11,2026-03-12,941,115.49,Received
PO000300,SUP00018,PROD00434,2025-01-14,2025-02-21,544,76.05,In Transit
PO000301,SUP00036,PROD00264,2026-01-13,2026-01-21,300,76.58,Received
PO000302,SUP00001,PROD00147,2025-12-03,2026-01-08,508,77.82,Received
PO000303,SUP00023,PROD00242,2026-03-22,2026-04-19,685,72.81,Received
PO000304,SUP00025,PROD00385,2025-02-13,2025-03-23,88,54.67,Received
PO000305,SUP00033,PROD00070,2025-07-23,2025-07-25,403,92.79,Received
PO000306,SUP00014,PROD00400,2025-01-19,2025-03-16,575,62.68,Received
PO000307,SUP00030,PROD00137,2025-07-11,2025-08-10,635,20.2,In Transit
PO000308,SUP00032,PROD00405,2025-09-18,2025-10-21,311,53.12,Received
PO000309,SUP00002,PROD00210,2026-05-04,2026-06-26,771,11.86,Received
PO000310,SUP00024,PROD00172,2025-08-25,2025-09-28,450,26.31,Received
PO000311,SUP00034,PROD00048,2026-05-09,2026-05-11,590,81.98,Received
PO000312,SUP00014,PROD00138,2025-03-21,2025-05-16,299,97.02,Received
PO000313,SUP00004,PROD00432,2026-03-18,2026-05-03,399,50.33,In Transit
PO000314,SUP00010,PROD00465,2025-06-14,2025-08-01,215,117.7,Received
PO000315,SUP00022,PROD00284,2025-06-13,2025-07-14,558,49.6,Received
PO000316,SUP00017,PROD00093,2025-12-25,2026-02-19,861,47.1,Cancelled
PO000317,SUP00019,PROD00467,2025-08-21,2025-10-19,282,32.21,Received
PO000318,SUP00026,PROD00052,2025-01-12,2025-02-06,882,26.45,In Transit
PO000319,SUP00003,PROD00121,2025-04-17,2025-05-22,903,72.97,Received
PO000320,SUP00017,PROD00093,2025-07-10,2025-09-04,870,47.1,Received
PO000321,SUP00033,PROD00349,2026-03-26,2026-03-28,732,114.5,Received
PO000322,SUP00024,PROD00019,2025-12-19,2026-01-22,515,53.42,Received
PO000323,SUP00034,PROD00048,2025-11-08,2025-11-10,905,81.98,In Transit
PO000324,SUP00013,PROD00045,2025-10-18,2025-11-22,680,116.52,Received
PO000325,SUP00022,PROD00413,2026-02-23,2026-03-26,325,29.36,Received
PO000326,SUP00025,PROD00473,2026-01-18,2026-02-25,878,43.16,Received
PO000327,SUP00019,PROD00204,2025-12-13,2026-02-10,274,77.04,Received
PO000328,SUP00005,PROD00494,2025-08-28,2025-10-15,399,80.89,Received
PO000329,SUP00002,PROD00123,2026-05-15,2026-07-07,251,10.5,Cancelled
PO000330,SUP00030,PROD00392,2025-08-16,2025-09-15,454,53.69,Received
PO000331,SUP00003,PROD00165,2025-05-14,2025-06-18,842,6.67,Received
PO000332,SUP00014,PROD00396,2025-04-11,2025-06-06,181,56.43,Received
PO000333,SUP00030,PROD00439,2025-05-03,2025-06-02,609,35.85,Received
PO000334,SUP00002,PROD00060,2025-02-21,2025-04-15,634,28.14,Received
PO000335,SUP00005,PROD00003,2025-07-10,2025-08-27,979,91.15,Received
PO000336,SUP00023,PROD00353,2026-07-11,2026-08-08,367,110.39,Received
PO000337,SUP00023,PROD00353,2025-12-26,2026-01-23,80,110.39,Received
PO000338,SUP00007,PROD00411,2025-02-24,2025-04-08,136,91.38,Received
PO000339,SUP00028,PROD00356,2025-04-27,2025-05-23,590,65.6,Received
PO000340,SUP00040,PROD00270,2026-06-02,2026-06-09,583,60.49,Received
PO000341,SUP00022,PROD00104,2025-04-14,2025-05-15,487,97.35,Received
PO000342,SUP00014,PROD00400,2026-06-06,2026-08-01,466,62.68,Received
PO000343,SUP00005,PROD00351,2025-09-01,2025-10-19,333,106.17,Received
