shipment_id,purchase_order_id,origin_country,destination_country,shipment_date,estimated_arrival_date,actual_arrival_date,shipping_method,freight_cost,import_duty,other_import_cost,shipment_status
SHIP000015,PO001931,India,UK,2025-07-04,2025-07-29,2025-07-29,Sea Freight,4960.49,791.61,74.14,Delivered
SHIP000016,PO000197,China,UK,2026-01-08,2026-02-16,2026-02-16,Sea Freight,913.87,155.43,399.28,Delivered
SHIP000017,PO001021,India,UK,2025-12-03,2025-12-25,2025-12-25,Air Freight,3158.13,351.63,382.74,Delivered
SHIP000018,PO001392,India,UK,2026-02-19,2026-03-13,2026-03-16,Sea Freight,2688.26,916.01,295.81,Delayed
SHIP000019,PO000782,China,UK,2025-05-18,2025-06-15,2025-06-16,Rail Freight,2308.87,312.33,334.85,Delayed
SHIP000020,PO000490,China,UK,2025-10-14,2025-12-06,2025-12-06,Air Freight,4804.11,1212.51,117.74,Delivered
SHIP000021,PO000207,China,UK,2025-11-28,2025-12-31,2026-01-01,Air Freight,2875.7,752.67,259.11,Delayed
SHIP000022,PO001929,India,UK,2025-10-01,2025-10-25,2025-10-26,Sea Freight,3309.25,1298.27,423.58,Delayed
SHIP000023,PO001549,China,UK,2026-06-06,2026-07-30,2026-07-30,Air Freight,4849.81,1271.84,250.09,Delivered
SHIP000024,PO001375,China,UK,2026-06-19,2026-07-25,2026-07-26,Air Freight,3736.7,1301.19,488.65,Delivered
SHIP000025,PO000582,China,UK,2026-03-15,2026-05-05,2026-05-12,Sea Freight,4777.14,577.32,464.46,Delayed
SHIP000026,PO000076,India,UK,2026-03-30,2026-04-25,2026-04-25,Air Freight,4576.83,1245.64,169.79,Delivered
SHIP000027,PO001654,India,UK,2025-08-08,2025-09-03,2025-09-10,Air Freight,241.88,628.36,231.25,Delayed
SHIP000028,PO001546,India,UK,2026-03-25,2026-04-24,2026-04-27,Sea Freight,3527.03,1221.58,322.43,Delayed
SHIP000029,PO000504,India,UK,2026-04-19,2026-05-15,2026-05-15,Air Freight,685.83,1277.16,402.0,Delivered
SHIP000030,PO000805,China,UK,2025-07-23,2025-08-22,2025-08-22,Sea Freight,467.65,524.25,317.18,Delivered
SHIP000031,PO001432,UK,UK,2025-09-25,2025-09-26,2025-09-27,Road Freight,3503.04,0.0,235.63,Delayed
SHIP000032,PO001527,China,UK,2026-04-29,2026-06-09,2026-06-12,Air Freight,2392.61,1084.77,487.52,Delayed
SHIP000033,PO001411,UK,UK,2026-03-22,2026-03-23,2026-03-24,Courier,3630.98,0.0,446.21,Delivered
SHIP000034,PO000544,India,UK,2026-07-10,2026-08-06,2026-08-06,Air Freight,3614.67,1053.84,112.58,Delivered
SHIP000035,PO000611,China,UK,2026-03-04,2026-04-09,2026-04-10,Rail Freight,4011.84,427.94,383.11,Delayed
SHIP000036,PO001750,China,UK,2026-03-29,2026-05-23,2026-05-23,Air Freight,653.98,502.31,342.55,Delivered
SHIP000037,PO001043,China,UK,2025-01-12,2025-02-22,2025-02-23,Rail Freight,401.95,1422.47,424.1,Delivered
SHIP000038,PO000733,China,UK,2025-05-15,2025-06-28,2025-06-28,Rail Freight,568.91,885.1,59.45,Delivered
SHIP000039,PO000385,India,UK,2026-07-26,2026-08-21,2026-08-21,Air Freight,3775.74,1149.92,395.59,Delivered
SHIP000040,PO000520,UK,UK,2025-11-24,2025-11-29,2025-11-30,Courier,3666.73,0.0,301.04,Delivered
SHIP000041,PO001920,UK,UK,2025-06-03,2025-06-03,2025-06-03,Courier,482.8,0.0,158.73,Delivered
SHIP000042,PO000269,UK,UK,2025-09-04,2025-09-03,2025-09-03,Courier,2252.7,0.0,346.26,Delivered
SHIP000043,PO001096,China,UK,2025-04-03,2025-05-15,2025-05-16,Sea Freight,1217.75,1166.68,187.34,Delivered
SHIP000044,PO001959,China,UK,2026-02-27,2026-04-21,2026-04-24,Air Freight,2570.65,1031.2,365.72,Delivered
SHIP000045,PO000755,India,UK,2026-03-18,2026-04-19,2026-04-19,Sea Freight,1083.52,1345.9,135.32,Delivered
SHIP000046,PO000875,UK,UK,2025-12-15,2025-12-14,2025-12-15,Courier,772.55,0.0,169.72,Delivered
SHIP000047,PO000664,China,UK,2025-06-19,2025-08-08,2025-08-15,Air Freight,944.77,103.75,330.21,Delivered
SHIP000048,PO001361,China,UK,2025-05-22,2025-07-11,2025-07-14,Sea Freight,1123.01,559.45,263.42,Delayed
SHIP000049,PO001033,China,UK,2025-06-18,2025-07-18,2025-07-18,Rail Freight,3614.46,937.03,216.98,Delivered
SHIP000050,PO001186,China,UK,2025-08-16,2025-09-28,2025-09-28,Rail Freight,766.51,1008.63,114.51,Delivered
SHIP000051,PO001338,China,UK,2025-05-21,2025-07-09,2025-07-10,Air Freight,3392.98,456.03,343.81,Delayed
SHIP000052,PO000903,India,UK,2025-05-01,2025-05-25,2025-05-25,Air Freight,2706.1,177.61,215.59,Delivered
SHIP000053,PO001030,UK,UK,2025-07-13,2025-07-17,2025-07-17,Courier,2963.63,0.0,167.77,Delivered
SHIP000054,PO001822,China,UK,2026-06-07,2026-07-15,2026-07-16,Sea Freight,3044.16,463.01,395.31,Delayed
SHIP000055,PO000380,China,UK,2026-07-28,2026-08-29,2026-08-29,Rail Freight,2230.87,742.66,323.14,Delivered
SHIP000056,PO000646,China,UK,2026-03-01,2026-04-09,2026-04-09,Rail Freight,3006.22,1440.56,379.15,Delivered
SHIP000057,PO000509,China,UK,2026-02-13,2026-03-26,2026-03-27,Air Freight,1849.72,1441.55,354.23,Delivered
SHIP000058,PO000954,UK,UK,2025-06-11,2025-06-13,2025-06-13,Road Freight,4481.21,0.0,328.62,Delivered
SHIP000059,PO001303,China,UK,2025-12-31,2026-02-16,2026-02-16,Rail Freight,2298.26,662.15,113.06,Delivered
SHIP000060,PO001407,UK,UK,2026-03-27,2026-03-29,2026-03-29,Road Freight,1540.46,0.0,63.43,Delivered
SHIP000061,PO000556,India,UK,2025-05-06,2025-06-03,2025-06-03,Sea Freight,4364.86,167.96,268.27,Delivered
SHIP000062,PO000266,China,UK,2025-03-14,2025-05-08,2025-05-09,Rail Freight,665.15,1042.53,260.11,Delayed
SHIP000063,PO000451,India,UK,2026-01-30,2026-03-01,2026-03-08,Air Freight,3926.26,1405.81,375.49,Delayed
SHIP000064,PO001933,China,UK,2026-01-13,2026-02-23,2026-02-23,Rail Freight,1471.59,942.57,178.48,Delivered
SHIP000065,PO000340,UK,UK,2026-06-09,2026-06-09,2026-06-16,Courier,3526.84,0.0,226.36,Delayed
SHIP000066,PO001687,India,UK,2025-02-05,2025-03-06,2025-03-06,Sea Freight,3347.53,1431.16,384.43,Delivered
SHIP000067,PO001402,UK,UK,2025-03-14,2025-03-09,2025-03-09,Courier,2254.25,0.0,175.88,Delivered
SHIP000068,PO001730,China,UK,2025-03-04,2025-04-17,2025-04-18,Sea Freight,714.77,1008.59,485.84,Delayed
SHIP000069,PO000712,China,UK,2025-10-31,2025-12-19,2025-12-19,Sea Freight,3826.07,478.86,191.57,Delivered
SHIP000070,PO001547,India,UK,2025-03-26,2025-04-23,2025-04-23,Sea Freight,3283.15,1394.93,184.26,Delivered
SHIP000071,PO000071,China,UK,2025-09-25,2025-11-06,2025-11-07,Sea Freight,2758.19,1058.03,461.7,Delayed
SHIP000072,PO000290,China,UK,2026-01-21,2026-03-06,2026-03-06,Sea Freight,218.18,304.0,99.51,Delivered
SHIP000073,PO001779,China,UK,2025-12-16,2026-01-25,2026-01-28,Sea Freight,510.05,1368.79,240.34,Delayed
SHIP000074,PO001287,China,UK,2025-12-08,2026-01-25,2026-01-25,Rail Freight,865.97,275.22,299.01,Delivered
SHIP000075,PO000035,China,UK,2025-06-07,2025-07-24,2025-07-24,Air Freight,4190.94,995.61,390.85,Delivered
SHIP000076,PO000116,India,UK,2026-06-16,2026-07-09,2026-07-09,Air Freight,208.05,1442.12,412.93,Delivered
SHIP000077,PO001874,China,UK,2026-05-21,2026-06-21,2026-06-22,Rail Freight,216.6,913.35,180.92,Delayed
SHIP000078,PO000143,China,UK,2025-05-01,2025-06-25,2025-07-02,Sea Freight,4214.71,1141.31,86.07,Delivered
SHIP000079,PO000737,China,UK,2026-03-03,2026-04-19,2026-04-20,Sea Freight,1969.47,339.1,343.55,Delivered
SHIP000080,PO000246,UK,UK,2026-02-13,2026-02-19,2026-02-20,Road Freight,728.87,0.0,236.7,Delivered
SHIP000081,PO000810,China,UK,2025-09-10,2025-11-01,2025-11-04,Sea Freight,778.41,1087.22,99.22,Delayed
SHIP000082,PO000342,China,UK,2026-06-10,2026-08-01,2026-08-02,Rail Freight,1467.5,612.02,282.71,Delivered
SHIP000083,PO001987,India,UK,2026-07-16,2026-08-19,2026-08-19,Air Freight,4448.69,606.33,73.21,Delivered
SHIP000084,PO001386,UK,UK,2026-02-26,2026-02-28,2026-02-28,Courier,1380.97,0.0,436.08,Delivered
SHIP000085,PO000437,India,UK,2026-05-19,2026-06-15,2026-06-15,Sea Freight,3001.55,542.78,396.88,Delivered
SHIP000086,PO001724,China,UK,2026-01-24,2026-02-24,2026-02-24,Rail Freight,4192.32,914.72,142.82,Delivered
SHIP000087,PO001298,China,UK,2025-07-08,2025-08-23,2025-08-23,Air Freight,4763.27,556.88,55.8,Delivered
SHIP000088,PO001346,UK,UK,2026-07-31,2026-08-02,2026-08-02,Road Freight,2075.07,0.0,244.92,Delivered
SHIP000089,PO001271,India,UK,2025-12-14,2026-01-08,2026-01-08,Air Freight,4039.34,848.63,339.07,Delivered
SHIP000090,PO001088,China,UK,2025-12-10,2026-01-24,2026-01-25,Rail Freight,3393.58,592.21,392.29,Delivered
SHIP000091,PO001860,UK,UK,2025-01-10,2025-01-09,2025-01-12,Road Freight,1393.14,0.0,121.35,Delivered
SHIP000092,PO000763,China,UK,2026-07-02,2026-08-22,2026-08-22,Air Freight,4740.62,1162.35,474.28,Delivered
SHIP000093,PO000261,India,UK,2025-05-21,2025-06-18,2025-06-18,Air Freight,4557.45,364.55,475.35,Delivered
SHIP000094,PO000384,China,UK,2025-11-07,2025-12-21,2025-12-22,Air Freight,3119.26,331.45,59.11,Delayed
SHIP000095,PO000305,UK,UK,2025-07-24,2025-07-25,2025-07-25,Road Freight,3559.35,0.0,446.75,Delivered
SHIP000096,PO001330,China,UK,2026-03-15,2026-04-14,2026-04-14,Sea Freight,647.41,229.12,137.39,Delivered
SHIP000097,PO000360,India,UK,2025-09-09,2025-10-05,2025-10-06,Air Freight,2324.29,438.79,276.48,Delayed
SHIP000098,PO001636,China,UK,2025-12-19,2026-02-11,2026-02-14,Rail Freight,3594.69,996.27,165.79,Delivered
SHIP000099,PO000314,China,UK,2025-06-15,2025-08-01,2025-08-01,Air Freight,3161.1,1298.66,318.11,Delivered
SHIP000100,PO000250,India,UK,2025-10-16,2025-11-08,2025-11-08,Air Freight,3927.56,485.05,116.24,Delivered
SHIP000101,PO000642,China,UK,2025-04-02,2025-05-24,2025-05-24,Sea Freight,288.78,209.83,114.73,Delivered
SHIP000102,PO000324,China,UK,2025-10-19,2025-11-22,2025-11-29,Air Freight,3864.08,867.96,230.73,Delivered
SHIP000103,PO000851,UK,UK,2026-05-31,2026-05-28,2026-05-28,Courier,4872.53,0.0,191.89,Delivered
SHIP000104,PO000938,China,UK,2026-03-15,2026-04-29,2026-04-29,Rail Freight,2514.83,112.09,224.93,Delivered
SHIP000105,PO000118,UK,UK,2026-04-25,2026-04-30,2026-05-03,Courier,1047.96,0.0,166.57,Delivered
SHIP000106,PO001440,India,UK,2026-02-06,2026-03-12,2026-03-15,Sea Freight,4787.87,1045.14,196.05,Delivered
SHIP000107,PO001390,China,UK,2025-03-03,2025-04-15,2025-04-16,Rail Freight,1558.37,577.06,118.32,Delivered
SHIP000108,PO001420,China,UK,2026-02-16,2026-04-10,2026-04-10,Air Freight,942.57,1214.01,433.91,Delivered
SHIP000109,PO000478,India,UK,2025-11-12,2025-12-15,2025-12-15,Air Freight,2760.23,1354.62,272.65,Delivered
SHIP000110,PO001589,India,UK,2025-07-13,2025-08-09,2025-08-09,Sea Freight,4469.82,1147.56,133.7,Delivered
SHIP000111,PO001323,China,UK,2025-06-10,2025-07-28,2025-07-29,Rail Freight,1695.11,1428.63,106.55,Delivered
SHIP000112,PO000997,India,UK,2026-05-07,2026-06-08,2026-06-08,Air Freight,2414.06,383.16,316.18,Delivered
SHIP000113,PO000372,UK,UK,2025-07-01,2025-07-02,2025-07-02,Courier,125.34,0.0,381.49,Delivered
SHIP000114,PO001656,China,UK,2025-10-15,2025-12-05,2025-12-05,Air Freight,4470.71,512.28,183.65,Delivered
SHIP000115,PO001862,China,UK,2026-03-10,2026-04-20,2026-04-21,Sea Freight,2910.54,1190.72,396.61,Delayed
SHIP000116,PO001273,China,UK,2026-04-19,2026-05-24,2026-05-24,Air Freight,551.84,1322.24,366.77,Delivered
SHIP000117,PO001767,China,UK,2025-02-01,2025-03-15,2025-03-18,Sea Freight,3491.72,472.04,237.56,Delivered
SHIP000118,PO001141,UK,UK,2026-01-22,2026-01-24,2026-01-24,Road Freight,1357.68,0.0,388.51,Delivered
SHIP000119,PO001775,China,UK,2025-11-08,2025-12-20,2025-12-21,Air Freight,2154.88,263.58,334.09,Delivered
SHIP000120,PO001541,China,UK,2025-04-18,2025-06-08,2025-06-08,Air Freight,276.73,473.84,223.34,Delivered
SHIP000121,PO000127,China,UK,2026-01-13,2026-03-01,2026-03-04,Rail Freight,1738.67,724.09,361.31,Delayed
SHIP000122,PO001083,India,UK,2025-12-08,2026-01-06,2026-01-06,Air Freight,1730.78,760.59,498.84,Delivered
SHIP000123,PO000975,UK,UK,2025-04-01,2025-04-07,2025-04-07,Road Freight,4698.54,0.0,64.61,Delivered
SHIP000124,PO001427,China,UK,2025-05-01,2025-06-23,2025-06-26,Air Freight,1652.37,489.13,192.77,Delivered
SHIP000125,PO001537,China,UK,2026-01-26,2026-03-07,2026-03-07,Air Freight,4070.76,1040.99,403.1,Delivered
SHIP000126,PO001538,UK,UK,2025-11-09,2025-11-13,2025-11-13,Road Freight,2319.42,0.0,453.85,Delivered
SHIP000127,PO000743,China,UK,2025-06-10,2025-08-05,2025-08-08,Air Freight,637.3,1008.32,385.3,Delivered
SHIP000128,PO000633,China,UK,2025-01-09,2025-02-20,2025-02-20,Sea Freight,2430.48,434.29,370.25,Delivered
SHIP000129,PO000313,China,UK,2026-03-19,2026-05-03,2026-05-03,Rail Freight,3324.78,372.32,432.42,Delivered
SHIP000130,PO001791,China,UK,2025-03-10,2025-05-04,2025-05-07,Sea Freight,2427.37,931.18,388.89,Delivered
SHIP000131,PO000253,UK,UK,2025-11-08,2025-11-10,2025-11-13,Road Freight,4650.67,0.0,428.46,Delivered
SHIP000132,PO000322,India,UK,2025-12-21,2026-01-22,2026-01-22,Sea Freight,3636.4,504.82,296.05,Delivered
SHIP000133,PO001990,China,UK,2026-01-12,2026-02-12,2026-02-12,Sea Freight,1435.11,1179.98,424.71,Delivered
SHIP000134,PO001939,UK,UK,2025-05-05,2025-05-06,2025-05-13,Courier,2004.52,0.0,467.61,Delayed
SHIP000135,PO001277,India,UK,2026-06-18,2026-07-14,2026-07-14,Sea Freight,4987.85,864.66,71.59,Delivered
SHIP000136,PO001066,UK,UK,2026-06-20,2026-06-19,2026-06-20,Courier,832.47,0.0,63.5,Delayed
SHIP000137,PO000438,India,UK,2026-04-05,2026-05-02,2026-05-02,Air Freight,4861.56,529.2,271.45,Delivered
SHIP000138,PO001464,India,UK,2025-07-07,2025-08-04,2025-08-04,Air Freight,4021.26,1351.92,357.59,Delivered
SHIP000139,PO000462,UK,UK,2025-03-01,2025-03-04,2025-03-05,Courier,3977.4,0.0,325.42,Delayed
SHIP000140,PO000243,UK,UK,2026-01-03,2026-01-09,2026-01-09,Courier,2139.56,0.0,91.64,Delivered
SHIP000141,PO001727,China,UK,2025-08-15,2025-09-25,2025-09-28,Rail Freight,946.63,441.76,319.38,Delivered
SHIP000142,PO001937,India,UK,2025-11-13,2025-12-14,2025-12-14,Air Freight,3188.5,157.73,430.13,Delivered
SHIP000143,PO001992,China,UK,2025-08-08,2025-09-30,2025-09-30,Air Freight,2762.86,168.92,424.64,Delivered
SHIP000144,PO001789,India,UK,2026-02-18,2026-03-25,2026-03-25,Sea Freight,892.67,937.56,186.38,Delivered
SHIP000145,PO001765,China,UK,2025-05-01,2025-06-02,2025-06-02,Rail Freight,218.03,1084.9,303.79,Delivered
SHIP000146,PO001597,China,UK,2025-03-27,2025-05-13,2025-05-13,Air Freight,4786.9,563.47,279.25,Delivered
SHIP000147,PO000368,China,UK,2025-09-29,2025-11-12,2025-11-19,Sea Freight,3000.34,1381.72,103.4,Delivered
SHIP000148,PO000676,India,UK,2025-08-27,2025-09-21,2025-09-21,Sea Freight,931.5,1492.8,406.02,Delivered
SHIP000149,PO001536,China,UK,2026-05-29,2026-06-28,2026-06-28,Sea Freight,376.02,529.82,141.62,Delivered
SHIP000150,PO000029,China,UK,2025-05-17,2025-07-08,2025-07-08,Sea Freight,2029.8,1370.58,443.02,Delivered
SHIP000151,PO001814,China,UK,2026-05-01,2026-06-01,2026-06-01,Air Freight,4622.15,1130.17,148.94,Delivered
SHIP000152,PO000069,China,UK,2025-06-16,2025-08-04,2025-08-04,Sea Freight,2153.83,333.1,122.35,Delivered
SHIP000153,PO000983,China,UK,2025-08-29,2025-10-20,2025-10-21,Air Freight,3584.21,794.95,179.72,Delayed
SHIP000154,PO001952,China,UK,2025-08-22,2025-10-14,2025-10-14,Rail Freight,3506.63,392.37,156.21,Delivered
SHIP000155,PO001544,China,UK,2025-04-24,2025-06-05,2025-06-05,Sea Freight,3850.36,1074.04,372.9,Delivered
SHIP000156,PO000738,China,UK,2026-05-04,2026-06-09,2026-06-09,Rail Freight,3933.52,223.85,371.58,Delivered
SHIP000157,PO000740,China,UK,2025-02-15,2025-04-02,2025-04-02,Sea Freight,4835.08,1378.94,498.77,Delivered
SHIP000158,PO001229,China,UK,2026-06-17,2026-08-10,2026-08-10,Air Freight,4920.72,614.59,423.81,Delivered
SHIP000159,PO000955,China,UK,2025-11-04,2025-12-08,2025-12-08,Sea Freight,1886.95,212.48,252.8,Delivered
SHIP000160,PO000404,India,UK,2025-05-14,2025-06-14,2025-06-17,Sea Freight,4720.39,1162.18,250.77,Delivered
SHIP000161,PO000511,China,UK,2025-08-29,2025-09-27,2025-09-27,Rail Freight,1867.02,767.24,433.84,Delivered
SHIP000162,PO001431,China,UK,2026-01-24,2026-03-17,2026-03-17,Sea Freight,1206.33,978.07,268.5,Delivered
SHIP000163,PO001938,China,UK,2025-05-12,2025-06-28,2025-06-28,Air Freight,2284.15,279.3,216.94,Delivered
SHIP000164,PO000512,China,UK,2025-02-12,2025-03-27,2025-03-30,Rail Freight,1483.56,1372.61,337.92,Delivered
SHIP000165,PO001025,India,UK,2026-01-30,2026-02-26,2026-02-26,Air Freight,3816.6,1443.54,67.43,Delivered
SHIP000166,PO001510,China,UK,2025-09-05,2025-10-17,2025-10-20,Sea Freight,139.02,631.36,105.97,Delivered
SHIP000167,PO001241,China,UK,2025-01-08,2025-02-13,2025-02-13,Sea Freight,2628.52,1183.53,266.02,Delivered
SHIP000168,PO000214,China,UK,2026-03-16,2026-04-24,2026-04-25,Air Freight,2021.08,1380.18,138.4,Delivered
SHIP000169,PO001614,India,UK,2025-06-11,2025-07-14,2025-07-14,Sea Freight,3423.83,120.29,419.94,Delivered
SHIP000170,PO000565,India,UK,2025-11-02,2025-11-26,2025-11-26,Sea Freight,2729.42,180.84,467.31,Delivered
SHIP000171,PO001325,India,UK,2025-10-19,2025-11-19,2025-11-19,Air Freight,1397.28,559.86,259.12,Delivered
SHIP000172,PO000122,China,UK,2026-05-17,2026-07-03,2026-07-03,Sea Freight,757.18,1331.48,282.61,Delivered
SHIP000173,PO001796,UK,UK,2025-02-04,2025-02-01,2025-02-01,Courier,2927.23,0.0,97.34,Delivered
SHIP000174,PO000792,China,UK,2026-04-20,2026-05-24,2026-05-25,Rail Freight,3169.85,1499.33,388.35,Delayed
SHIP000175,PO001079,China,UK,2026-02-27,2026-04-07,2026-04-07,Rail Freight,4789.02,485.72,479.34,Delivered
SHIP000176,PO001649,India,UK,2025-09-08,2025-10-05,2025-10-05,Sea Freight,1445.24,1468.63,122.01,Delivered
SHIP000177,PO000435,India,UK,2026-02-23,2026-03-22,2026-03-22,Sea Freight,2182.84,1215.82,301.49,Delivered
SHIP000178,PO000995,UK,UK,2025-11-06,2025-11-01,2025-11-01,Road Freight,2085.35,0.0,288.96,Delivered
SHIP000179,PO000614,China,UK,2026-06-29,2026-08-02,2026-08-02,Air Freight,3811.27,865.3,385.74,Delivered
SHIP000180,PO001708,China,UK,2026-05-24,2026-07-11,2026-07-11,Sea Freight,4002.17,1027.14,161.25,Delivered
SHIP000181,PO000432,UK,UK,2026-07-10,2026-07-10,2026-07-11,Courier,4241.37,0.0,268.64,Delivered
SHIP000182,PO001621,China,UK,2025-02-05,2025-04-01,2025-04-01,Air Freight,403.71,1124.25,461.99,Delivered
SHIP000183,PO000182,China,UK,2026-02-24,2026-04-19,2026-04-19,Sea Freight,1350.27,1430.01,96.95,Delivered
SHIP000184,PO001289,China,UK,2025-10-31,2025-12-06,2025-12-07,Rail Freight,2307.15,970.44,374.37,Delivered
SHIP000185,PO001265,UK,UK,2026-07-17,2026-07-16,2026-07-23,Courier,2364.15,0.0,219.68,Delayed
SHIP000186,PO001821,China,UK,2025-08-06,2025-09-30,2025-10-14,Rail Freight,626.67,200.66,83.03,Delayed
SHIP000187,PO001852,China,UK,2025-09-14,2025-10-24,2025-10-24,Air Freight,206.76,1053.68,240.0,Delivered
SHIP000188,PO000230,China,UK,2025-07-01,2025-08-22,2025-08-29,Air Freight,1539.87,1239.14,120.14,Delivered
SHIP000189,PO001309,India,UK,2025-01-07,2025-02-09,2025-02-12,Sea Freight,656.65,412.04,197.59,Delivered
SHIP000190,PO001232,China,UK,2026-07-10,2026-08-27,2026-08-27,Sea Freight,1971.89,1197.46,451.08,Delivered
SHIP000191,PO000038,India,UK,2025-07-19,2025-08-11,2025-08-14,Sea Freight,3670.05,495.51,200.75,Delayed
SHIP000192,PO000911,UK,UK,2026-06-24,2026-06-24,2026-07-01,Road Freight,831.72,0.0,490.46,Delivered
SHIP000193,PO000780,India,UK,2025-04-16,2025-05-11,2025-05-14,Sea Freight,2587.79,1154.1,273.02,Delayed
SHIP000194,PO001972,UK,UK,2026-06-02,2026-06-05,2026-06-05,Courier,3166.97,0.0,387.56,Delivered
SHIP000195,PO000131,China,UK,2025-12-11,2026-02-04,2026-02-04,Sea Freight,1660.72,640.65,469.26,Delivered
SHIP000196,PO000710,India,UK,2025-01-15,2025-02-05,2025-02-05,Sea Freight,4570.97,1425.29,90.57,Delivered
SHIP000197,PO000172,UK,UK,2025-06-03,2025-06-03,2025-06-03,Courier,3751.18,0.0,329.65,Delivered
SHIP000198,PO000323,UK,UK,2025-11-12,2025-11-10,2025-11-10,Road Freight,3571.69,0.0,188.19,Delivered
SHIP000199,PO001732,China,UK,2025-06-29,2025-08-24,2025-08-25,Sea Freight,3047.11,724.34,134.33,Delivered
SHIP000200,PO001020,China,UK,2026-05-22,2026-06-23,2026-06-24,Air Freight,2737.75,224.92,443.85,Delivered
SHIP000201,PO001068,China,UK,2025-11-24,2026-01-07,2026-01-07,Rail Freight,888.69,1021.47,407.4,Delivered
SHIP000202,PO000055,India,UK,2026-04-15,2026-05-10,2026-05-11,Air Freight,818.49,1018.69,384.54,Delayed
SHIP000203,PO001511,India,UK,2026-01-15,2026-02-07,2026-02-10,Sea Freight,1075.55,1333.19,307.01,Delayed
SHIP000204,PO001422,UK,UK,2026-02-25,2026-02-26,2026-03-12,Courier,3442.86,0.0,122.58,Delivered
SHIP000205,PO000386,China,UK,2025-08-25,2025-10-20,2025-10-21,Sea Freight,1526.56,629.32,95.72,Delivered
SHIP000206,PO001717,China,UK,2026-03-17,2026-04-22,2026-04-23,Sea Freight,4452.65,402.8,309.33,Delayed
SHIP000207,PO001128,UK,UK,2025-05-29,2025-06-02,2025-06-05,Courier,241.38,0.0,419.67,Delivered
SHIP000208,PO001458,UK,UK,2026-03-06,2026-03-10,2026-03-11,Road Freight,1596.1,0.0,325.43,Delivered
SHIP000209,PO001809,China,UK,2026-02-09,2026-03-26,2026-03-26,Sea Freight,122.3,227.85,375.79,Delivered
SHIP000210,PO001274,India,UK,2026-07-24,2026-08-21,2026-08-21,Air Freight,1511.01,581.94,456.42,Delivered
SHIP000211,PO000403,India,UK,2025-02-09,2025-03-02,2025-03-03,Air Freight,3077.17,679.52,195.75,Delivered
SHIP000212,PO000816,China,UK,2025-10-29,2025-12-01,2025-12-01,Rail Freight,3066.74,414.07,478.18,Delivered
SHIP000213,PO001567,UK,UK,2026-06-09,2026-06-12,2026-06-12,Courier,299.28,0.0,333.23,Delivered
SHIP000214,PO001835,China,UK,2025-10-04,2025-11-19,2025-11-19,Rail Freight,1741.94,1441.13,498.1,Delivered
SHIP000215,PO000362,China,UK,2025-06-18,2025-07-27,2025-07-28,Rail Freight,1601.25,1492.92,297.65,Delivered
SHIP000216,PO001418,India,UK,2025-01-06,2025-02-01,2025-02-01,Sea Freight,4503.93,320.7,472.64,Delivered
SHIP000217,PO001963,India,UK,2025-02-08,2025-03-04,2025-03-04,Air Freight,1022.23,721.46,156.15,Delivered
SHIP000218,PO000994,India,UK,2026-01-12,2026-02-07,2026-02-07,Sea Freight,4961.86,1287.85,58.74,Delivered
SHIP000219,PO000084,China,UK,2026-02-26,2026-04-18,2026-04-21,Air Freight,1012.18,1060.39,213.64,Delivered
SHIP000220,PO000065,India,UK,2026-01-30,2026-02-28,2026-03-01,Air Freight,2402.22,760.03,138.95,Delivered
SHIP000221,PO000702,China,UK,2026-07-02,2026-08-28,2026-08-29,Air Freight,2612.21,109.57,333.18,Delivered
