payment_id,order_id,payment_date,payment_method,payment_status,amount
PAY0000077,ORD000080,2026-03-17 09:35:00,Bank Transfer,Paid,1557.3
PAY0000078,ORD000081,2025-04-06 20:35:00,Card,Paid,267.67
PAY0000079,ORD000082,2026-05-16 09:13:00,Bank Transfer,Paid,2548.17
PAY0000080,ORD000083,2026-02-21 20:54:00,PayPal,Paid,3003.25
PAY0000081,ORD000084,2025-09-17 18:58:00,Bank Transfer,Paid,3757.15
PAY0000082,ORD000085,2026-07-02 13:04:00,Google Pay,Pending,1177.94
PAY0000083,ORD000086,2026-02-23 10:18:00,Apple Pay,Failed,2653.05
PAY0000084,ORD000087,2025-06-04 21:40:00,PayPal,Paid,1636.21
PAY0000085,ORD000088,2025-07-08 15:44:00,Card,Paid,1385.79
PAY0000086,ORD000089,2025-11-30 11:06:00,Card,Paid,715.22
PAY0000087,ORD000090,2025-10-03 17:32:00,Card,Paid,764.21
PAY0000088,ORD000091,2025-09-10 17:25:00,Bank Transfer,Paid,2707.98
PAY0000089,ORD000092,2025-10-08 02:08:00,Card,Paid,1668.09
PAY0000090,ORD000093,2025-06-19 20:55:00,Apple Pay,Paid,1316.24
PAY0000091,ORD000094,2026-02-25 00:07:00,Card,Paid,768.4
PAY0000092,ORD000095,2025-02-28 23:27:00,Card,Paid,58.47
PAY0000093,ORD000096,2026-05-11 06:24:00,Google Pay,Paid,1334.53
PAY0000094,ORD000097,2025-03-17 19:46:00,Apple Pay,Paid,2696.61
PAY0000095,ORD000098,2025-08-30 10:46:00,Card,Paid,1058.82
PAY0000096,ORD000099,2026-02-19 08:20:00,Card,Paid,2195.03
PAY0000097,ORD000101,2026-01-30 18:41:00,PayPal,Paid,390.29
PAY0000098,ORD000102,2025-05-14 21:59:00,Card,Paid,508.25
PAY0000099,ORD000103,2025-01-07 21:45:00,Card,Pending,1978.86
PAY0000100,ORD000104,2026-07-24 12:37:00,Bank Transfer,Paid,918.66
PAY0000101,ORD000105,2025-06-28 05:36:00,Card,Paid,1130.49
PAY0000102,ORD000106,2026-04-23 16:07:00,Google Pay,Paid,105.22
PAY0000103,ORD000107,2025-12-26 22:17:00,Apple Pay,Paid,405.93
PAY0000104,ORD000108,2025-01-26 04:37:00,PayPal,Paid,1288.68
PAY0000105,ORD000109,2025-07-26 21:39:00,Card,Paid,739.12
PAY0000106,ORD000110,2025-07-26 11:12:00,Card,Paid,2317.37
PAY0000107,ORD000111,2026-02-25 01:02:00,Bank Transfer,Paid,2408.33
PAY0000108,ORD000112,2026-03-17 11:57:00,Google Pay,Paid,1881.74
PAY0000109,ORD000113,2026-03-13 22:24:00,Bank Transfer,Paid,4114.04
PAY0000110,ORD000114,2025-03-19 17:57:00,PayPal,Paid,1380.16
PAY0000111,ORD000115,2025-08-17 23:33:00,Card,Paid,945.42
PAY0000112,ORD000116,2026-04-07 02:51:00,Apple Pay,Paid,3146.74
PAY0000113,ORD000117,2026-05-07 05:56:00,PayPal,Paid,438.0
PAY0000114,ORD000118,2026-01-17 02:54:00,Card,Paid,846.9
PAY0000115,ORD000119,2025-03-17 03:08:00,Apple Pay,Paid,850.67
PAY0000116,ORD000120,2026-02-06 16:44:00,Card,Paid,1847.55
PAY0000117,ORD000121,2025-07-21 21:42:00,PayPal,Paid,1996.3
PAY0000118,ORD000122,2025-05-24 05:49:00,Apple Pay,Paid,2021.39
PAY0000119,ORD000123,2025-02-07 19:30:00,Bank Transfer,Paid,1533.97
PAY0000120,ORD000124,2025-11-16 20:42:00,Card,Paid,1068.44
PAY0000121,ORD000125,2025-04-11 17:01:00,Google Pay,Paid,962.98
PAY0000122,ORD000126,2025-03-24 18:31:00,Bank Transfer,Paid,2975.46
PAY0000123,ORD000127,2025-05-19 15:07:00,Card,Paid,489.94
PAY0000124,ORD000128,2025-03-17 22:02:00,Card,Paid,1195.92
PAY0000125,ORD000129,2026-02-19 09:30:00,PayPal,Paid,851.23
PAY0000126,ORD000130,2025-05-22 00:43:00,Card,Paid,363.7
PAY0000127,ORD000133,2026-01-21 06:04:00,Bank Transfer,Paid,1507.05
PAY0000128,ORD000134,2025-02-07 08:33:00,Card,Paid,801.63
PAY0000129,ORD000135,2025-01-12 21:30:00,Google Pay,Paid,2162.04
PAY0000130,ORD000137,2025-08-21 13:34:00,Bank Transfer,Paid,1789.34
PAY0000131,ORD000138,2026-02-24 01:38:00,Bank Transfer,Paid,3593.41
PAY0000132,ORD000139,2025-02-24 23:33:00,Card,Paid,2271.03
PAY0000133,ORD000140,2025-09-09 06:19:00,Apple Pay,Paid,229.94
PAY0000134,ORD000141,2025-07-06 04:53:00,Bank Transfer,Paid,710.6
PAY0000135,ORD000142,2025-01-28 22:30:00,PayPal,Paid,1705.24
PAY0000136,ORD000143,2026-06-20 19:59:00,Google Pay,Paid,2130.92
PAY0000137,ORD000144,2026-06-15 13:01:00,Card,Paid,3113.35
PAY0000138,ORD000145,2026-03-20 01:35:00,Card,Paid,299.7
PAY0000139,ORD000146,2025-06-07 02:39:00,Card,Paid,2224.36
PAY0000140,ORD000147,2025-05-04 15:16:00,Bank Transfer,Paid,1306.11
PAY0000141,ORD000148,2025-07-28 17:17:00,Bank Transfer,Paid,2723.66
PAY0000142,ORD000149,2025-03-28 22:02:00,Bank Transfer,Paid,3734.7
PAY0000143,ORD000150,2025-10-31 17:51:00,Card,Paid,1317.06
PAY0000144,ORD000151,2026-02-26 12:04:00,Card,Paid,2998.4
PAY0000145,ORD000152,2026-01-12 01:07:00,Google Pay,Paid,1774.54
PAY0000146,ORD000153,2025-03-31 16:47:00,Card,Paid,1593.45
PAY0000147,ORD000154,2026-07-16 09:31:00,Card,Paid,395.97
PAY0000148,ORD000156,2025-02-14 02:49:00,Card,Paid,1899.8
PAY0000149,ORD000157,2025-05-19 11:40:00,PayPal,Paid,387.95
PAY0000150,ORD000158,2025-05-03 06:20:00,Card,Paid,1783.87
PAY0000151,ORD000159,2026-05-19 04:14:00,PayPal,Paid,2231.49
PAY0000152,ORD000160,2025-07-20 03:20:00,Google Pay,Failed,236.53
PAY0000153,ORD000161,2026-06-28 04:05:00,Card,Paid,693.92
PAY0000154,ORD000162,2026-05-29 09:53:00,Card,Paid,1684.58
PAY0000155,ORD000163,2026-01-29 09:32:00,PayPal,Paid,2023.91
PAY0000156,ORD000164,2025-12-21 17:54:00,Google Pay,Paid,3493.2
PAY0000157,ORD000165,2026-05-26 16:04:00,Bank Transfer,Paid,793.43
PAY0000158,ORD000166,2025-04-18 07:31:00,Card,Paid,502.13
PAY0000159,ORD000167,2025-10-31 19:59:00,Card,Paid,2300.69
PAY0000160,ORD000168,2025-09-11 05:13:00,PayPal,Paid,96.19
PAY0000161,ORD000169,2026-06-17 15:06:00,Card,Paid,240.53
PAY0000162,ORD000170,2026-02-05 06:49:00,PayPal,Failed,1779.4
PAY0000163,ORD000171,2026-05-07 06:36:00,Apple Pay,Paid,2769.46
PAY0000164,ORD000172,2026-02-11 23:34:00,Card,Paid,2344.71
PAY0000165,ORD000173,2026-01-10 09:26:00,Card,Paid,146.01
PAY0000166,ORD000174,2025-07-04 08:24:00,Card,Paid,2788.48
PAY0000167,ORD000175,2026-03-16 13:31:00,Card,Paid,3005.45
PAY0000168,ORD000176,2025-10-10 20:28:00,Card,Paid,404.6
PAY0000169,ORD000178,2026-03-27 18:27:00,PayPal,Paid,320.43
PAY0000170,ORD000179,2025-01-13 17:28:00,Card,Paid,1594.55
PAY0000171,ORD000180,2026-02-26 10:02:00,Card,Paid,2117.82
PAY0000172,ORD000181,2025-08-12 21:31:00,Apple Pay,Failed,2643.58
PAY0000173,ORD000182,2026-07-15 06:50:00,Card,Paid,1291.61
PAY0000174,ORD000183,2026-04-30 21:38:00,Apple Pay,Paid,1317.29
PAY0000175,ORD000184,2025-05-25 19:30:00,Card,Paid,1656.56
PAY0000176,ORD000185,2026-02-28 18:31:00,Card,Paid,569.98
PAY0000177,ORD000187,2025-04-12 12:54:00,Apple Pay,Paid,1041.14
PAY0000178,ORD000188,2026-05-07 13:12:00,Card,Paid,1494.85
PAY0000179,ORD000189,2025-11-29 06:01:00,PayPal,Pending,1923.96
PAY0000180,ORD000190,2025-03-19 21:22:00,Bank Transfer,Paid,1379.77
PAY0000181,ORD000191,2025-07-23 18:03:00,PayPal,Paid,1816.37
PAY0000182,ORD000193,2026-03-01 14:17:00,Card,Paid,773.25
PAY0000183,ORD000194,2026-04-28 12:23:00,Card,Paid,235.17
PAY0000184,ORD000195,2025-07-13 01:59:00,Apple Pay,Pending,460.43
PAY0000185,ORD000196,2025-02-09 12:12:00,Card,Paid,931.51
PAY0000186,ORD000197,2025-01-02 06:04:00,Card,Paid,1746.67
PAY0000187,ORD000198,2025-03-23 18:36:00,Apple Pay,Paid,271.13
PAY0000188,ORD000199,2026-05-10 17:21:00,Card,Paid,1358.34
PAY0000189,ORD000200,2025-08-07 04:03:00,PayPal,Paid,908.41
PAY0000190,ORD000201,2025-11-01 23:52:00,Bank Transfer,Paid,2665.0
PAY0000191,ORD000202,2025-04-22 07:07:00,Card,Paid,1035.27
PAY0000192,ORD000203,2025-04-13 14:26:00,PayPal,Paid,198.93
PAY0000193,ORD000204,2026-07-20 14:54:00,Card,Paid,2446.21
PAY0000194,ORD000206,2026-03-26 13:09:00,Card,Failed,1761.6
PAY0000195,ORD000207,2025-02-06 09:40:00,Card,Paid,133.96
PAY0000196,ORD000209,2025-10-21 04:50:00,Card,Paid,1563.7
PAY0000197,ORD000210,2025-10-26 06:09:00,Card,Paid,2547.58
PAY0000198,ORD000211,2025-12-18 22:21:00,Card,Paid,803.32
PAY0000199,ORD000212,2025-08-12 00:51:00,PayPal,Paid,1009.24
PAY0000200,ORD000213,2025-06-20 00:56:00,Bank Transfer,Paid,1302.3
PAY0000201,ORD000214,2025-09-29 12:16:00,Bank Transfer,Paid,1018.44
PAY0000202,ORD000215,2026-05-02 08:47:00,Card,Paid,4290.03
PAY0000203,ORD000216,2026-07-15 05:18:00,Card,Paid,1959.29
PAY0000204,ORD000217,2025-09-13 20:30:00,Card,Paid,1755.72
PAY0000205,ORD000218,2025-02-05 08:28:00,Apple Pay,Paid,2586.77
PAY0000206,ORD000219,2025-10-20 18:47:00,Card,Paid,2286.04
PAY0000207,ORD000220,2025-05-03 21:46:00,Card,Pending,724.42
PAY0000208,ORD000221,2025-03-19 13:37:00,Apple Pay,Paid,2426.55
PAY0000209,ORD000222,2025-07-25 19:35:00,Card,Paid,353.39
PAY0000210,ORD000223,2026-01-24 00:34:00,Card,Paid,2566.89
PAY0000211,ORD000224,2025-04-25 19:26:00,PayPal,Paid,148.44
PAY0000212,ORD000225,2026-02-05 07:05:00,Bank Transfer,Paid,1998.86
PAY0000213,ORD000226,2026-01-23 13:10:00,Card,Paid,115.82
PAY0000214,ORD000227,2025-07-02 11:20:00,PayPal,Paid,1393.01
PAY0000215,ORD000228,2026-03-30 21:15:00,Card,Paid,1587.64
PAY0000216,ORD000229,2025-09-27 18:31:00,Card,Paid,815.41
PAY0000217,ORD000230,2026-06-25 08:51:00,Card,Pending,683.32
PAY0000218,ORD000231,2025-02-11 01:35:00,Card,Paid,406.97
PAY0000219,ORD000232,2026-03-08 10:18:00,Card,Paid,24.8
PAY0000220,ORD000233,2025-01-16 11:03:00,Bank Transfer,Paid,2501.32
PAY0000221,ORD000234,2025-07-28 12:15:00,Google Pay,Paid,1386.77
PAY0000222,ORD000235,2025-05-22 00:24:00,Apple Pay,Paid,1338.5
PAY0000223,ORD000236,2025-04-26 23:55:00,PayPal,Paid,2468.73
PAY0000224,ORD000237,2025-04-10 23:22:00,Card,Paid,211.37
PAY0000225,ORD000238,2025-05-25 05:03:00,Apple Pay,Pending,358.66
PAY0000226,ORD000240,2026-01-23 04:29:00,Apple Pay,Paid,275.39
PAY0000227,ORD000241,2026-02-08 09:25:00,Card,Pending,1113.68
PAY0000228,ORD000242,2025-07-20 02:35:00,Bank Transfer,Paid,575.11
PAY0000229,ORD000243,2026-07-21 21:17:00,Card,Paid,79.39
PAY0000230,ORD000244,2026-03-25 12:45:00,Apple Pay,Paid,846.69
PAY0000231,ORD000245,2025-10-07 12:41:00,Card,Paid,1009.28
PAY0000232,ORD000246,2026-03-14 00:11:00,Apple Pay,Paid,1617.32
PAY0000233,ORD000247,2025-12-31 04:18:00,PayPal,Paid,1670.46
PAY0000234,ORD000248,2025-12-23 19:01:00,PayPal,Paid,1574.15
PAY0000235,ORD000249,2025-05-05 20:14:00,Apple Pay,Paid,1799.43
PAY0000236,ORD000250,2025-02-17 08:07:00,PayPal,Pending,1484.52
PAY0000237,ORD000251,2026-04-27 03:03:00,Card,Pending,416.94
PAY0000238,ORD000252,2025-06-08 05:36:00,Card,Paid,1100.3
PAY0000239,ORD000253,2025-05-25 12:31:00,Card,Paid,3013.91
PAY0000240,ORD000254,2025-02-08 08:46:00,Bank Transfer,Paid,1321.83
PAY0000241,ORD000255,2026-02-02 04:14:00,Apple Pay,Paid,1796.65
PAY0000242,ORD000256,2026-05-10 01:58:00,PayPal,Paid,1582.31
PAY0000243,ORD000257,2026-05-27 17:46:00,PayPal,Paid,1211.66
PAY0000244,ORD000258,2025-01-27 07:27:00,Bank Transfer,Failed,542.65
PAY0000245,ORD000259,2025-07-14 06:02:00,Bank Transfer,Paid,411.37
PAY0000246,ORD000260,2025-07-16 21:30:00,Card,Paid,2192.74
PAY0000247,ORD000261,2025-07-25 14:15:00,Bank Transfer,Pending,2053.5
PAY0000248,ORD000262,2026-04-18 08:47:00,Card,Paid,3046.31
PAY0000249,ORD000263,2025-02-24 00:31:00,PayPal,Paid,4261.37
PAY0000250,ORD000264,2026-03-07 17:18:00,Bank Transfer,Paid,273.13
PAY0000251,ORD000265,2025-12-11 17:27:00,Bank Transfer,Paid,432.28
PAY0000252,ORD000266,2025-09-21 19:36:00,Card,Paid,2110.39
PAY0000253,ORD000267,2025-06-16 23:41:00,Apple Pay,Paid,2119.02
PAY0000254,ORD000268,2025-08-03 10:14:00,Card,Pending,1501.17
PAY0000255,ORD000269,2025-03-22 14:27:00,Google Pay,Paid,273.56
PAY0000256,ORD000270,2025-06-16 09:40:00,Card,Paid,2138.83
PAY0000257,ORD000271,2026-07-25 20:04:00,Google Pay,Paid,1286.67
PAY0000258,ORD000273,2025-03-29 23:02:00,Card,Paid,1352.18
PAY0000259,ORD000274,2025-01-10 22:20:00,Card,Paid,41.9
PAY0000260,ORD000275,2026-02-21 21:11:00,Card,Paid,2424.64
PAY0000261,ORD000277,2025-11-28 17:49:00,Apple Pay,Paid,2296.98
PAY0000262,ORD000278,2025-03-07 23:09:00,Bank Transfer,Paid,1916.41
PAY0000263,ORD000279,2025-05-10 18:12:00,Google Pay,Paid,507.63
PAY0000264,ORD000280,2025-10-17 03:36:00,PayPal,Paid,2872.92
PAY0000265,ORD000281,2026-06-10 17:16:00,Bank Transfer,Paid,733.64
PAY0000266,ORD000282,2026-07-08 20:07:00,Card,Paid,2116.5
PAY0000267,ORD000283,2026-05-10 17:13:00,Card,Paid,1116.89
PAY0000268,ORD000284,2025-02-24 18:25:00,Card,Paid,917.9
PAY0000269,ORD000286,2025-06-20 05:49:00,Card,Paid,2245.7
PAY0000270,ORD000287,2026-01-07 12:24:00,Bank Transfer,Paid,521.47
PAY0000271,ORD000288,2026-07-04 02:53:00,Card,Paid,1925.71
PAY0000272,ORD000289,2025-06-19 13:37:00,Card,Paid,393.2
PAY0000273,ORD000290,2026-04-18 20:53:00,Apple Pay,Pending,1810.61
PAY0000274,ORD000291,2026-01-23 23:00:00,Card,Paid,443.77
PAY0000275,ORD000292,2025-07-21 23:14:00,Card,Paid,2205.99
PAY0000276,ORD000293,2025-01-14 20:24:00,PayPal,Paid,70.72
PAY0000277,ORD000294,2025-01-10 11:05:00,PayPal,Paid,94.99
PAY0000278,ORD000296,2026-04-02 03:11:00,Card,Paid,766.86
PAY0000279,ORD000297,2025-01-11 20:30:00,Apple Pay,Paid,1026.21
PAY0000280,ORD000298,2026-05-20 21:10:00,Card,Paid,586.86
PAY0000281,ORD000299,2026-01-12 01:09:00,Card,Paid,413.9
PAY0000282,ORD000300,2025-07-07 12:32:00,Card,Paid,467.65
PAY0000283,ORD000301,2026-06-30 08:51:00,Card,Paid,1098.17
PAY0000284,ORD000302,2025-03-04 00:11:00,Card,Paid,323.68
PAY0000285,ORD000303,2025-12-26 18:48:00,Card,Paid,675.32
PAY0000286,ORD000304,2025-05-01 11:08:00,PayPal,Paid,1681.69
PAY0000287,ORD000305,2025-03-21 10:10:00,Card,Paid,1041.42
PAY0000288,ORD000306,2026-01-04 02:51:00,Bank Transfer,Paid,1640.36
PAY0000289,ORD000307,2025-10-31 06:57:00,Card,Paid,1133.24
PAY0000290,ORD000308,2025-07-21 03:33:00,Card,Paid,1894.97
PAY0000291,ORD000309,2025-05-14 14:38:00,Card,Paid,1808.75
PAY0000292,ORD000310,2025-05-05 09:29:00,Card,Paid,926.9
PAY0000293,ORD000311,2026-07-19 00:00:00,Card,Paid,3593.39
PAY0000294,ORD000312,2025-02-08 18:11:00,Card,Pending,1195.93
PAY0000295,ORD000313,2026-01-19 08:52:00,Card,Pending,1963.06
PAY0000296,ORD000314,2025-07-17 13:42:00,Google Pay,Paid,890.19
PAY0000297,ORD000315,2025-03-30 01:17:00,Card,Paid,236.24
PAY0000298,ORD000316,2026-02-16 02:10:00,Card,Paid,1830.77
PAY0000299,ORD000317,2026-03-17 01:32:00,Card,Paid,2656.5
PAY0000300,ORD000318,2025-11-02 07:48:00,PayPal,Paid,576.57
PAY0000301,ORD000319,2025-02-01 06:39:00,Card,Paid,1969.05
PAY0000302,ORD000320,2026-06-29 00:25:00,PayPal,Paid,1009.7
PAY0000303,ORD000321,2026-03-18 13:53:00,Card,Paid,952.82
PAY0000304,ORD000322,2026-01-18 07:42:00,Card,Paid,1797.41
PAY0000305,ORD000323,2025-08-04 08:53:00,PayPal,Pending,547.42
PAY0000306,ORD000324,2026-01-29 10:27:00,Bank Transfer,Paid,1710.87
PAY0000307,ORD000325,2025-03-01 23:56:00,Card,Pending,3665.69
PAY0000308,ORD000326,2026-03-18 03:13:00,PayPal,Paid,299.1
PAY0000309,ORD000327,2025-05-27 18:40:00,PayPal,Paid,708.86
PAY0000310,ORD000328,2025-06-30 22:36:00,Card,Paid,1776.27
PAY0000311,ORD000329,2025-08-14 09:07:00,Card,Paid,1289.3
PAY0000312,ORD000330,2025-10-26 08:54:00,Apple Pay,Paid,1678.38
PAY0000313,ORD000331,2026-07-18 09:43:00,PayPal,Paid,59.13
PAY0000314,ORD000332,2025-05-19 21:54:00,Card,Paid,775.67
PAY0000315,ORD000333,2025-01-16 00:23:00,Google Pay,Paid,1320.5
PAY0000316,ORD000335,2025-12-29 11:23:00,Card,Paid,151.53
PAY0000317,ORD000336,2026-05-08 02:36:00,Card,Paid,1068.96
PAY0000318,ORD000337,2025-06-22 14:53:00,Card,Paid,2290.81
PAY0000319,ORD000338,2025-06-18 20:20:00,Card,Paid,577.71
PAY0000320,ORD000339,2025-11-25 18:48:00,Card,Paid,1282.33
PAY0000321,ORD000340,2026-07-09 02:13:00,Apple Pay,Paid,2814.92
PAY0000322,ORD000341,2026-03-16 13:30:00,Card,Paid,2171.71
PAY0000323,ORD000342,2026-07-02 17:39:00,Bank Transfer,Paid,268.35
PAY0000324,ORD000343,2025-07-18 08:44:00,Apple Pay,Paid,1584.25
PAY0000325,ORD000344,2025-08-23 12:03:00,Card,Paid,665.17
PAY0000326,ORD000345,2025-03-08 08:45:00,Card,Paid,701.17
PAY0000327,ORD000346,2025-12-08 23:30:00,Card,Paid,1486.63
PAY0000328,ORD000347,2026-06-29 01:40:00,Bank Transfer,Paid,2539.11
PAY0000329,ORD000348,2026-03-28 22:16:00,Card,Paid,2580.04
PAY0000330,ORD000349,2025-04-05 23:01:00,Card,Paid,864.91
PAY0000331,ORD000350,2025-06-05 23:52:00,Apple Pay,Paid,3163.54
PAY0000332,ORD000351,2026-01-04 07:08:00,Card,Paid,3482.68
PAY0000333,ORD000352,2026-07-23 02:21:00,PayPal,Paid,256.7
PAY0000334,ORD000353,2026-05-15 07:13:00,Card,Paid,3073.17
PAY0000335,ORD000354,2026-03-02 19:20:00,Google Pay,Paid,949.9
PAY0000336,ORD000355,2026-01-09 14:29:00,Card,Paid,3051.85
PAY0000337,ORD000356,2025-12-09 16:07:00,Bank Transfer,Paid,2125.23
PAY0000338,ORD000357,2025-08-16 09:30:00,Card,Paid,1402.24
PAY0000339,ORD000358,2026-02-24 01:27:00,Card,Paid,1494.22
PAY0000340,ORD000359,2026-07-24 13:38:00,Card,Paid,804.72
PAY0000341,ORD000360,2026-05-06 18:51:00,Card,Pending,755.93
PAY0000342,ORD000361,2026-01-17 08:23:00,Apple Pay,Paid,413.09
PAY0000343,ORD000362,2025-07-22 13:39:00,Card,Paid,1779.11
PAY0000344,ORD000364,2025-06-10 07:56:00,Bank Transfer,Paid,156.43
PAY0000345,ORD000365,2026-06-21 13:41:00,Card,Failed,341.46
PAY0000346,ORD000366,2026-01-19 08:06:00,Card,Paid,2008.71
PAY0000347,ORD000367,2025-02-10 09:40:00,Apple Pay,Paid,434.62
PAY0000348,ORD000368,2026-02-19 08:56:00,PayPal,Paid,575.85
PAY0000349,ORD000369,2026-07-23 13:51:00,Apple Pay,Paid,1263.15
PAY0000350,ORD000370,2025-04-06 22:50:00,Card,Paid,1580.94
PAY0000351,ORD000371,2026-04-05 15:57:00,Card,Paid,391.85
PAY0000352,ORD000372,2025-08-13 08:57:00,Card,Paid,3135.63
PAY0000353,ORD000373,2026-02-22 21:27:00,Google Pay,Paid,4069.95
PAY0000354,ORD000374,2025-02-02 17:18:00,Card,Paid,1273.2
