order_id,customer_id,order_date,order_status,sales_channel,delivery_method,shipping_region
ORD000124,CUST00637,2025-11-16 20:42:00,Completed,Marketplace,Courier,Scotland
ORD000125,CUST04571,2025-04-11 17:01:00,Completed,Online,Home Delivery,Wales
ORD000126,CUST04593,2025-03-24 18:31:00,Completed,Online,Click & Collect,London
ORD000127,CUST03748,2025-05-19 15:07:00,Completed,Marketplace,Courier,Wales
ORD000128,CUST02329,2025-03-17 22:02:00,Completed,Trade Counter,Home Delivery,Yorkshire & Humber
ORD000129,CUST03749,2026-02-19 09:30:00,Completed,Online,Courier,South West
ORD000130,CUST03129,2025-05-22 00:43:00,Completed,Online,Home Delivery,South East
ORD000131,CUST00424,2025-06-24 19:52:00,Cancelled,Online,Home Delivery,Yorkshire & Humber
ORD000132,CUST02128,2025-06-30 16:13:00,Cancelled,Marketplace,Courier,Yorkshire & Humber
ORD000133,CUST04533,2026-01-21 06:04:00,Completed,Online,Click & Collect,London
ORD000134,CUST00543,2025-02-07 08:33:00,Completed,Marketplace,Courier,London
ORD000135,CUST00758,2025-01-12 21:30:00,Completed,Online,Courier,South West
ORD000136,CUST03493,2025-01-29 11:08:00,Cancelled,Online,Courier,East of England
ORD000137,CUST04399,2025-08-21 13:34:00,Completed,Online,Courier,South West
ORD000138,CUST02456,2026-02-24 01:38:00,Completed,Marketplace,Home Delivery,North East
ORD000139,CUST04426,2025-02-24 23:33:00,Completed,Online,Courier,South West
ORD000140,CUST02769,2025-09-09 06:19:00,Completed,Online,Home Delivery,Northern Ireland
ORD000141,CUST04181,2025-07-06 04:53:00,Completed,Online,Home Delivery,East Midlands
ORD000142,CUST03236,2025-01-28 22:30:00,Completed,Online,Click & Collect,London
ORD000143,CUST02983,2026-06-20 19:59:00,Completed,Trade Counter,Click & Collect,South West
ORD000144,CUST00133,2026-06-15 13:01:00,Completed,Online,Home Delivery,Yorkshire & Humber
ORD000145,CUST04435,2026-03-20 01:35:00,Completed,Online,Home Delivery,West Midlands
ORD000146,CUST00308,2025-06-07 02:39:00,Completed,Online,Click & Collect,London
ORD000147,CUST03105,2025-05-04 15:16:00,Completed,Online,Home Delivery,West Midlands
ORD000148,CUST00672,2025-07-28 17:17:00,Completed,Online,Click & Collect,London
ORD000149,CUST04992,2025-03-28 22:02:00,Completed,Marketplace,Home Delivery,Yorkshire & Humber
ORD000150,CUST02765,2025-10-31 17:51:00,Completed,Online,Home Delivery,Scotland
ORD000151,CUST02830,2026-02-26 12:04:00,Pending,Online,Courier,East Midlands
ORD000152,CUST02288,2026-01-12 01:07:00,Completed,Online,Click & Collect,London
ORD000153,CUST02609,2025-03-31 16:47:00,Completed,Online,Courier,Wales
ORD000154,CUST03862,2026-07-16 09:31:00,Pending,Online,Courier,Wales
ORD000155,CUST02327,2025-02-15 16:21:00,Cancelled,Online,Click & Collect,Wales
ORD000156,CUST04571,2025-02-14 02:49:00,Completed,Marketplace,Home Delivery,Wales
ORD000157,CUST00077,2025-05-19 11:40:00,Completed,Marketplace,Click & Collect,Yorkshire & Humber
ORD000158,CUST00447,2025-05-03 06:20:00,Completed,Online,Courier,East of England
ORD000159,CUST02845,2026-05-19 04:14:00,Completed,Online,Home Delivery,Northern Ireland
ORD000160,CUST01532,2025-07-20 03:20:00,Completed,Online,Home Delivery,Yorkshire & Humber
ORD000161,CUST01600,2026-06-28 04:05:00,Pending,Trade Counter,Home Delivery,London
ORD000162,CUST00688,2026-05-29 09:53:00,Completed,Online,Click & Collect,Yorkshire & Humber
ORD000163,CUST00485,2026-01-29 09:32:00,Completed,Trade Counter,Click & Collect,West Midlands
ORD000164,CUST00928,2025-12-21 17:54:00,Completed,Online,Courier,East Midlands
ORD000165,CUST04206,2026-05-26 16:04:00,Completed,Online,Home Delivery,North East
ORD000166,CUST03682,2025-04-18 07:31:00,Pending,Marketplace,Courier,South West
ORD000167,CUST00269,2025-10-31 19:59:00,Completed,Marketplace,Home Delivery,South West
ORD000168,CUST01409,2025-09-11 05:13:00,Completed,Online,Click & Collect,North East
ORD000169,CUST04151,2026-06-17 15:06:00,Completed,Marketplace,Home Delivery,North East
ORD000170,CUST00812,2026-02-05 06:49:00,Completed,Online,Click & Collect,London
ORD000171,CUST01770,2026-05-07 06:36:00,Completed,Marketplace,Courier,North West
ORD000172,CUST00060,2026-02-11 23:34:00,Completed,Trade Counter,Home Delivery,Northern Ireland
ORD000173,CUST02093,2026-01-10 09:26:00,Completed,Online,Home Delivery,South West
ORD000174,CUST00186,2025-07-04 08:24:00,Completed,Online,Click & Collect,Northern Ireland
ORD000175,CUST00401,2026-03-16 13:31:00,Completed,Online,Courier,North East
ORD000176,CUST04871,2025-10-10 20:28:00,Completed,Online,Click & Collect,East Midlands
ORD000177,CUST01232,2026-06-26 05:16:00,Cancelled,Online,Home Delivery,London
ORD000178,CUST01940,2026-03-27 18:27:00,Completed,Online,Click & Collect,South East
ORD000179,CUST00666,2025-01-13 17:28:00,Completed,Online,Courier,North East
ORD000180,CUST00836,2026-02-26 10:02:00,Completed,Online,Courier,Northern Ireland
ORD000181,CUST00018,2025-08-12 21:31:00,Completed,Online,Click & Collect,East of England
ORD000182,CUST00591,2026-07-15 06:50:00,Completed,Online,Home Delivery,Northern Ireland
ORD000183,CUST01129,2026-04-30 21:38:00,Completed,Online,Click & Collect,London
ORD000184,CUST00872,2025-05-25 19:30:00,Completed,Trade Counter,Home Delivery,East of England
ORD000185,CUST04150,2026-02-28 18:31:00,Pending,Online,Home Delivery,East Midlands
ORD000186,CUST01772,2026-03-22 18:26:00,Cancelled,Marketplace,Home Delivery,Northern Ireland
ORD000187,CUST01494,2025-04-12 12:54:00,Completed,Online,Courier,Yorkshire & Humber
ORD000188,CUST01197,2026-05-07 13:12:00,Completed,Online,Home Delivery,Scotland
ORD000189,CUST01836,2025-11-29 06:01:00,Partially Fulfilled,Online,Courier,East of England
ORD000190,CUST01133,2025-03-19 21:22:00,Completed,Trade Counter,Home Delivery,Scotland
ORD000191,CUST01377,2025-07-23 18:03:00,Completed,Marketplace,Home Delivery,Yorkshire & Humber
ORD000192,CUST00929,2025-08-12 05:08:00,Cancelled,Online,Click & Collect,East of England
ORD000193,CUST02846,2026-03-01 14:17:00,Completed,Trade Counter,Courier,South West
ORD000194,CUST03997,2026-04-28 12:23:00,Completed,Marketplace,Click & Collect,Yorkshire & Humber
ORD000195,CUST01014,2025-07-13 01:59:00,Pending,Marketplace,Click & Collect,East Midlands
ORD000196,CUST04317,2025-02-09 12:12:00,Completed,Online,Home Delivery,London
ORD000197,CUST00518,2025-01-02 06:04:00,Pending,Online,Click & Collect,South West
ORD000198,CUST03803,2025-03-23 18:36:00,Completed,Online,Home Delivery,North East
ORD000199,CUST01201,2026-05-10 17:21:00,Completed,Online,Home Delivery,East of England
ORD000200,CUST04277,2025-08-07 04:03:00,Completed,Online,Home Delivery,North West
ORD000201,CUST01878,2025-11-01 23:52:00,Completed,Online,Courier,North West
ORD000202,CUST04445,2025-04-22 07:07:00,Completed,Trade Counter,Home Delivery,North West
ORD000203,CUST01659,2025-04-13 14:26:00,Completed,Online,Courier,South West
ORD000204,CUST03262,2026-07-20 14:54:00,Completed,Online,Home Delivery,London
ORD000205,CUST02793,2026-01-28 04:07:00,Cancelled,Online,Click & Collect,East of England
ORD000206,CUST02446,2026-03-26 13:09:00,Completed,Online,Home Delivery,London
ORD000207,CUST00378,2025-02-06 09:40:00,Completed,Online,Home Delivery,Yorkshire & Humber
ORD000208,CUST03924,2025-07-20 00:16:00,Cancelled,Online,Courier,South West
ORD000209,CUST00921,2025-10-21 04:50:00,Completed,Online,Click & Collect,East Midlands
ORD000210,CUST02503,2025-10-26 06:09:00,Completed,Marketplace,Click & Collect,North East
ORD000211,CUST03409,2025-12-18 22:21:00,Completed,Online,Home Delivery,Wales
ORD000212,CUST02875,2025-08-12 00:51:00,Partially Fulfilled,Online,Home Delivery,Wales
ORD000213,CUST01902,2025-06-20 00:56:00,Completed,Online,Click & Collect,Wales
ORD000214,CUST04454,2025-09-29 12:16:00,Completed,Online,Click & Collect,East Midlands
ORD000215,CUST04093,2026-05-02 08:47:00,Completed,Online,Click & Collect,South East
ORD000216,CUST00028,2026-07-15 05:18:00,Completed,Marketplace,Courier,East Midlands
ORD000217,CUST03755,2025-09-13 20:30:00,Completed,Online,Home Delivery,North East
ORD000218,CUST03843,2025-02-05 08:28:00,Completed,Online,Home Delivery,Wales
ORD000219,CUST03155,2025-10-20 18:47:00,Partially Fulfilled,Online,Home Delivery,Wales
ORD000220,CUST03428,2025-05-03 21:46:00,Partially Fulfilled,Online,Courier,South West
ORD000221,CUST03483,2025-03-19 13:37:00,Completed,Marketplace,Click & Collect,East of England
ORD000222,CUST01412,2025-07-25 19:35:00,Completed,Online,Home Delivery,Northern Ireland
ORD000223,CUST03822,2026-01-24 00:34:00,Completed,Online,Home Delivery,Yorkshire & Humber
ORD000224,CUST04466,2025-04-25 19:26:00,Completed,Online,Home Delivery,Yorkshire & Humber
ORD000225,CUST01908,2026-02-05 07:05:00,Completed,Online,Click & Collect,South West
ORD000226,CUST00879,2026-01-23 13:10:00,Partially Fulfilled,Online,Home Delivery,Northern Ireland
ORD000227,CUST01488,2025-07-02 11:20:00,Completed,Online,Home Delivery,South East
ORD000228,CUST01427,2026-03-30 21:15:00,Completed,Online,Click & Collect,Scotland
ORD000229,CUST01559,2025-09-27 18:31:00,Completed,Marketplace,Home Delivery,London
ORD000230,CUST00488,2026-06-25 08:51:00,Partially Fulfilled,Trade Counter,Courier,South East
ORD000231,CUST01306,2025-02-11 01:35:00,Completed,Online,Click & Collect,Scotland
ORD000232,CUST02469,2026-03-08 10:18:00,Completed,Trade Counter,Courier,North East
ORD000233,CUST00534,2025-01-16 11:03:00,Completed,Online,Click & Collect,East Midlands
ORD000234,CUST01988,2025-07-28 12:15:00,Pending,Online,Home Delivery,North West
ORD000235,CUST01653,2025-05-22 00:24:00,Completed,Trade Counter,Click & Collect,Yorkshire & Humber
ORD000236,CUST02253,2025-04-26 23:55:00,Completed,Online,Home Delivery,Yorkshire & Humber
ORD000237,CUST01180,2025-04-10 23:22:00,Completed,Marketplace,Courier,West Midlands
ORD000238,CUST02752,2025-05-25 05:03:00,Pending,Online,Click & Collect,North West
ORD000239,CUST01158,2025-09-12 06:47:00,Cancelled,Online,Click & Collect,Scotland
ORD000240,CUST04709,2026-01-23 04:29:00,Completed,Online,Home Delivery,West Midlands
ORD000241,CUST02970,2026-02-08 09:25:00,Partially Fulfilled,Online,Home Delivery,West Midlands
ORD000242,CUST04539,2025-07-20 02:35:00,Completed,Online,Home Delivery,South East
ORD000243,CUST00594,2026-07-21 21:17:00,Completed,Online,Courier,East Midlands
ORD000244,CUST03256,2026-03-25 12:45:00,Completed,Online,Courier,Wales
ORD000245,CUST02013,2025-10-07 12:41:00,Completed,Marketplace,Home Delivery,Northern Ireland
ORD000246,CUST01747,2026-03-14 00:11:00,Pending,Online,Click & Collect,Northern Ireland
ORD000247,CUST01913,2025-12-31 04:18:00,Completed,Online,Courier,Yorkshire & Humber
ORD000248,CUST00742,2025-12-23 19:01:00,Completed,Marketplace,Courier,East of England
ORD000249,CUST03651,2025-05-05 20:14:00,Completed,Online,Home Delivery,Northern Ireland
ORD000250,CUST02617,2025-02-17 08:07:00,Pending,Online,Home Delivery,South East
ORD000251,CUST02896,2026-04-27 03:03:00,Partially Fulfilled,Online,Courier,West Midlands
ORD000252,CUST03181,2025-06-08 05:36:00,Completed,Trade Counter,Click & Collect,Wales
ORD000253,CUST00898,2025-05-25 12:31:00,Completed,Online,Home Delivery,South East
ORD000254,CUST02624,2025-02-08 08:46:00,Completed,Online,Courier,East of England
ORD000255,CUST00266,2026-02-02 04:14:00,Completed,Trade Counter,Click & Collect,East Midlands
ORD000256,CUST01390,2026-05-10 01:58:00,Completed,Trade Counter,Click & Collect,East Midlands
ORD000257,CUST01906,2026-05-27 17:46:00,Pending,Online,Click & Collect,East of England
ORD000258,CUST02795,2025-01-27 07:27:00,Completed,Online,Home Delivery,South East
ORD000259,CUST01627,2025-07-14 06:02:00,Completed,Online,Courier,Yorkshire & Humber
ORD000260,CUST01198,2025-07-16 21:30:00,Completed,Marketplace,Home Delivery,London
ORD000261,CUST03525,2025-07-25 14:15:00,Partially Fulfilled,Online,Home Delivery,Northern Ireland
ORD000262,CUST04645,2026-04-18 08:47:00,Completed,Online,Courier,Northern Ireland
ORD000263,CUST02490,2025-02-24 00:31:00,Completed,Online,Courier,East Midlands
ORD000264,CUST00072,2026-03-07 17:18:00,Completed,Trade Counter,Click & Collect,Yorkshire & Humber
ORD000265,CUST00596,2025-12-11 17:27:00,Completed,Online,Home Delivery,East Midlands
ORD000266,CUST04327,2025-09-21 19:36:00,Completed,Trade Counter,Home Delivery,West Midlands
ORD000267,CUST00325,2025-06-16 23:41:00,Completed,Online,Courier,North East
ORD000268,CUST04485,2025-08-03 10:14:00,Partially Fulfilled,Online,Home Delivery,Yorkshire & Humber
ORD000269,CUST00350,2025-03-22 14:27:00,Completed,Online,Home Delivery,South East
ORD000270,CUST02666,2025-06-16 09:40:00,Completed,Online,Courier,Scotland
ORD000271,CUST02481,2026-07-25 20:04:00,Completed,Online,Courier,East Midlands
ORD000272,CUST04542,2025-02-16 09:00:00,Cancelled,Online,Courier,Scotland
ORD000273,CUST00495,2025-03-29 23:02:00,Completed,Online,Courier,South East
ORD000274,CUST00320,2025-01-10 22:20:00,Completed,Marketplace,Click & Collect,Scotland
ORD000275,CUST04469,2026-02-21 21:11:00,Completed,Marketplace,Home Delivery,East Midlands
ORD000276,CUST01048,2025-09-07 11:43:00,Cancelled,Online,Home Delivery,South East
ORD000277,CUST03554,2025-11-28 17:49:00,Completed,Marketplace,Courier,South West
ORD000278,CUST03449,2025-03-07 23:09:00,Completed,Online,Home Delivery,Yorkshire & Humber
ORD000279,CUST04768,2025-05-10 18:12:00,Completed,Online,Home Delivery,East Midlands
ORD000280,CUST00204,2025-10-17 03:36:00,Completed,Marketplace,Click & Collect,London
ORD000281,CUST00154,2026-06-10 17:16:00,Completed,Online,Courier,South East
ORD000282,CUST00487,2026-07-08 20:07:00,Completed,Online,Home Delivery,East Midlands
ORD000283,CUST01698,2026-05-10 17:13:00,Pending,Online,Home Delivery,East of England
ORD000284,CUST03404,2025-02-24 18:25:00,Completed,Online,Click & Collect,North West
ORD000285,CUST04696,2026-03-12 01:30:00,Cancelled,Online,Courier,East of England
ORD000286,CUST03459,2025-06-20 05:49:00,Completed,Online,Home Delivery,East of England
ORD000287,CUST04882,2026-01-07 12:24:00,Pending,Online,Courier,Wales
ORD000288,CUST00645,2026-07-04 02:53:00,Completed,Marketplace,Courier,West Midlands
ORD000289,CUST04486,2025-06-19 13:37:00,Completed,Online,Home Delivery,East Midlands
ORD000290,CUST04756,2026-04-18 20:53:00,Partially Fulfilled,Online,Click & Collect,Scotland
ORD000291,CUST02569,2026-01-23 23:00:00,Partially Fulfilled,Marketplace,Home Delivery,Northern Ireland
ORD000292,CUST04528,2025-07-21 23:14:00,Completed,Online,Click & Collect,South West
ORD000293,CUST01555,2025-01-14 20:24:00,Completed,Marketplace,Click & Collect,East Midlands
ORD000294,CUST03610,2025-01-10 11:05:00,Completed,Online,Home Delivery,Northern Ireland
ORD000295,CUST01758,2025-04-06 19:22:00,Cancelled,Online,Click & Collect,North West
ORD000296,CUST01575,2026-04-02 03:11:00,Completed,Online,Courier,South East
ORD000297,CUST03186,2025-01-11 20:30:00,Completed,Marketplace,Courier,South East
ORD000298,CUST00072,2026-05-20 21:10:00,Completed,Online,Courier,Yorkshire & Humber
ORD000299,CUST00151,2026-01-12 01:09:00,Completed,Online,Home Delivery,Yorkshire & Humber
ORD000300,CUST00930,2025-07-07 12:32:00,Partially Fulfilled,Online,Click & Collect,East Midlands
ORD000301,CUST02290,2026-06-30 08:51:00,Completed,Online,Courier,South East
ORD000302,CUST01240,2025-03-04 00:11:00,Completed,Online,Home Delivery,North East
ORD000303,CUST04439,2025-12-26 18:48:00,Completed,Trade Counter,Courier,East of England
ORD000304,CUST04014,2025-05-01 11:08:00,Completed,Online,Courier,West Midlands
ORD000305,CUST03157,2025-03-21 10:10:00,Completed,Online,Home Delivery,Wales
ORD000306,CUST01957,2026-01-04 02:51:00,Completed,Online,Home Delivery,South East
ORD000307,CUST02849,2025-10-31 06:57:00,Completed,Online,Courier,Northern Ireland
ORD000308,CUST01012,2025-07-21 03:33:00,Completed,Marketplace,Courier,Northern Ireland
ORD000309,CUST00138,2025-05-14 14:38:00,Completed,Online,Home Delivery,South East
ORD000310,CUST04686,2025-05-05 09:29:00,Completed,Online,Click & Collect,Yorkshire & Humber
ORD000311,CUST01362,2026-07-19 00:00:00,Completed,Marketplace,Courier,South East
ORD000312,CUST01199,2025-02-08 18:11:00,Partially Fulfilled,Online,Click & Collect,London
ORD000313,CUST00733,2026-01-19 08:52:00,Partially Fulfilled,Online,Home Delivery,Scotland
