return_id,order_id,product_id,return_date,quantity_returned,return_reason,refund_amount,return_status
RET000099,ORD015005,PROD00138,2025-09-18,1,Changed Mind,159.61,Approved
RET000100,ORD027964,PROD00188,2026-07-12,1,Other,176.48,Approved
RET000101,ORD039024,PROD00370,2025-03-31,1,Quality Issue,17.34,Approved
RET000102,ORD009268,PROD00075,2025-07-13,1,Other,39.04,Approved
RET000103,ORD032039,PROD00030,2025-11-16,6,Quality Issue,658.32,Pending
RET000104,ORD030200,PROD00108,2026-05-09,2,Quality Issue,179.18,Approved
RET000105,ORD015198,PROD00362,2025-06-10,2,Changed Mind,209.28,Approved
RET000106,ORD024785,PROD00132,2025-09-15,2,Wrong Item,296.28,Approved
RET000107,ORD007502,PROD00488,2025-11-07,4,Not as Described,650.48,Approved
RET000108,ORD049885,PROD00374,2025-08-09,4,Not as Described,54.08,Approved
RET000109,ORD004479,PROD00367,2026-03-27,1,Damaged,158.05,Pending
RET000110,ORD036890,PROD00479,2025-03-28,3,Quality Issue,208.95,Approved
RET000111,ORD002486,PROD00370,2025-04-21,3,Quality Issue,52.02,Approved
RET000112,ORD007916,PROD00001,2025-08-19,4,Changed Mind,494.92,Approved
RET000113,ORD032976,PROD00423,2025-07-06,4,Not as Described,231.8,Approved
RET000114,ORD034742,PROD00325,2025-05-14,7,Wrong Item,494.9,Rejected
RET000115,ORD040957,PROD00223,2026-04-08,1,Other,182.36,Approved
RET000116,ORD033492,PROD00313,2026-05-12,2,Wrong Item,151.94,Approved
RET000117,ORD041894,PROD00453,2026-01-19,7,Damaged,421.33,Pending
RET000118,ORD046412,PROD00273,2025-05-01,2,Late Delivery,138.36,Approved
RET000119,ORD033395,PROD00085,2025-11-03,3,Wrong Item,424.83,Rejected
RET000120,ORD027396,PROD00391,2026-05-07,2,Damaged,419.36,Approved
RET000121,ORD020893,PROD00093,2025-05-20,1,Changed Mind,78.36,Approved
RET000122,ORD027400,PROD00304,2026-02-05,2,Other,13.2,Approved
RET000123,ORD033585,PROD00319,2025-12-18,6,Not as Described,191.16,Approved
RET000124,ORD014209,PROD00291,2025-08-20,1,Changed Mind,161.17,Approved
RET000125,ORD005208,PROD00047,2025-12-08,2,Late Delivery,232.3,Approved
RET000126,ORD040806,PROD00490,2025-06-24,1,Quality Issue,152.66,Approved
RET000127,ORD039363,PROD00048,2025-10-30,7,Late Delivery,1060.5,Pending
RET000128,ORD049893,PROD00010,2026-07-05,2,Damaged,85.22,Approved
RET000129,ORD010899,PROD00338,2025-12-08,8,Late Delivery,1646.08,Approved
RET000130,ORD006387,PROD00028,2026-06-26,4,Late Delivery,148.36,Approved
RET000131,ORD039713,PROD00283,2026-05-26,7,Damaged,588.35,Approved
RET000132,ORD013079,PROD00180,2026-01-05,2,Quality Issue,167.22,Approved
RET000133,ORD001275,PROD00377,2025-12-11,4,Other,177.2,Rejected
RET000134,ORD027871,PROD00351,2025-04-15,3,Wrong Item,540.21,Approved
RET000135,ORD020681,PROD00136,2025-10-25,8,Wrong Item,105.28,Approved
RET000136,ORD025059,PROD00125,2025-02-20,4,Wrong Item,362.28,Approved
RET000137,ORD032190,PROD00378,2025-10-20,2,Wrong Item,169.96,Approved
RET000138,ORD027747,PROD00170,2025-02-25,3,Not as Described,616.53,Rejected
RET000139,ORD017349,PROD00406,2025-03-01,9,Not as Described,532.71,Approved
RET000140,ORD006269,PROD00414,2025-09-11,3,Other,183.63,Approved
RET000141,ORD016777,PROD00412,2026-03-18,5,Changed Mind,795.2,Approved
RET000142,ORD024092,PROD00430,2026-01-05,5,Quality Issue,576.05,Approved
RET000143,ORD012230,PROD00206,2025-03-20,4,Changed Mind,146.16,Approved
RET000144,ORD007866,PROD00110,2025-10-22,4,Not as Described,279.0,Approved
RET000145,ORD000752,PROD00490,2025-12-04,9,Wrong Item,1373.94,Approved
RET000146,ORD046722,PROD00200,2026-06-11,2,Late Delivery,162.78,Approved
RET000147,ORD027591,PROD00127,2026-04-29,3,Late Delivery,301.89,Approved
RET000148,ORD001569,PROD00164,2026-06-21,4,Late Delivery,555.0,Approved
RET000149,ORD033285,PROD00413,2025-09-19,6,Damaged,285.48,Rejected
RET000150,ORD016039,PROD00316,2025-03-17,1,Damaged,30.56,Approved
RET000151,ORD017392,PROD00176,2025-02-10,4,Late Delivery,182.56,Approved
RET000152,ORD042024,PROD00283,2026-02-06,5,Damaged,420.25,Approved
RET000153,ORD012379,PROD00195,2025-04-22,7,Damaged,201.67,Approved
RET000154,ORD004393,PROD00025,2026-01-23,1,Wrong Item,140.01,Approved
RET000155,ORD041939,PROD00393,2025-05-20,5,Late Delivery,544.95,Approved
RET000156,ORD000845,PROD00224,2025-07-02,6,Quality Issue,555.96,Rejected
RET000157,ORD035999,PROD00024,2025-03-04,1,Not as Described,92.88,Rejected
RET000158,ORD018053,PROD00164,2025-07-27,3,Wrong Item,416.25,Approved
RET000159,ORD013668,PROD00036,2025-07-14,2,Quality Issue,295.18,Approved
RET000160,ORD048789,PROD00443,2026-03-29,7,Late Delivery,844.55,Approved
RET000161,ORD038720,PROD00366,2026-02-25,2,Changed Mind,171.7,Approved
RET000162,ORD028506,PROD00181,2025-02-04,3,Other,355.26,Approved
RET000163,ORD002195,PROD00333,2026-04-03,1,Not as Described,160.55,Approved
RET000164,ORD049473,PROD00208,2025-02-28,9,Damaged,1535.67,Approved
RET000165,ORD012854,PROD00152,2026-01-18,5,Wrong Item,318.4,Approved
RET000166,ORD048344,PROD00101,2026-04-12,3,Other,523.74,Approved
RET000167,ORD019419,PROD00055,2026-06-13,2,Late Delivery,90.44,Approved
RET000168,ORD044267,PROD00085,2026-06-16,3,Late Delivery,424.83,Approved
RET000169,ORD023954,PROD00377,2026-04-25,1,Quality Issue,44.3,Approved
RET000170,ORD012432,PROD00162,2025-09-26,5,Not as Described,1125.35,Approved
RET000171,ORD037135,PROD00096,2025-05-22,6,Not as Described,283.14,Approved
RET000172,ORD007113,PROD00067,2025-11-10,2,Late Delivery,295.8,Approved
RET000173,ORD004082,PROD00356,2025-10-18,5,Other,479.2,Approved
RET000174,ORD003487,PROD00186,2026-05-11,1,Quality Issue,157.64,Rejected
RET000175,ORD040795,PROD00215,2025-05-15,1,Damaged,52.29,Rejected
RET000176,ORD024904,PROD00223,2025-12-16,3,Other,547.08,Approved
RET000177,ORD025947,PROD00276,2026-03-02,4,Damaged,794.28,Approved
RET000178,ORD033620,PROD00220,2025-06-14,8,Damaged,567.84,Approved
RET000179,ORD041877,PROD00484,2025-10-30,5,Not as Described,31.8,Approved
RET000180,ORD026855,PROD00485,2025-06-24,1,Not as Described,87.8,Approved
RET000181,ORD047230,PROD00095,2025-10-12,7,Changed Mind,1073.52,Approved
RET000182,ORD036212,PROD00441,2025-07-07,3,Quality Issue,297.81,Pending
RET000183,ORD013442,PROD00322,2025-03-08,1,Wrong Item,136.32,Approved
RET000184,ORD021644,PROD00491,2025-12-06,5,Damaged,388.15,Approved
RET000185,ORD015396,PROD00470,2025-12-03,1,Changed Mind,133.08,Approved
RET000186,ORD000757,PROD00458,2025-06-06,1,Other,175.97,Approved
RET000187,ORD026873,PROD00130,2026-03-30,2,Not as Described,158.22,Approved
RET000188,ORD023216,PROD00186,2025-04-07,4,Quality Issue,630.56,Rejected
RET000189,ORD001057,PROD00252,2026-04-19,2,Late Delivery,70.4,Approved
RET000190,ORD037041,PROD00010,2025-04-17,1,Wrong Item,42.61,Approved
RET000191,ORD026738,PROD00453,2026-01-03,1,Not as Described,60.19,Pending
RET000192,ORD041853,PROD00170,2026-03-31,8,Wrong Item,1644.08,Approved
RET000193,ORD045128,PROD00398,2025-11-12,1,Not as Described,154.71,Pending
RET000194,ORD006163,PROD00180,2025-04-17,1,Other,83.61,Pending
RET000195,ORD022289,PROD00332,2026-03-11,1,Late Delivery,55.83,Approved
RET000196,ORD037413,PROD00086,2026-06-07,2,Wrong Item,284.7,Approved
RET000197,ORD018058,PROD00343,2025-05-02,4,Wrong Item,481.6,Approved
RET000198,ORD042751,PROD00093,2025-07-12,2,Wrong Item,156.72,Pending
RET000199,ORD047613,PROD00013,2025-12-27,4,Not as Described,174.44,Approved
RET000200,ORD034881,PROD00476,2025-05-24,1,Damaged,37.98,Approved
RET000201,ORD016391,PROD00069,2025-08-14,1,Quality Issue,132.59,Approved
RET000202,ORD022196,PROD00305,2025-04-06,8,Late Delivery,169.28,Approved
RET000203,ORD027961,PROD00179,2025-06-06,2,Changed Mind,336.32,Approved
RET000204,ORD020903,PROD00498,2026-07-20,1,Changed Mind,188.0,Approved
RET000205,ORD048902,PROD00314,2026-03-16,7,Quality Issue,381.29,Approved
RET000206,ORD019291,PROD00047,2025-04-05,3,Quality Issue,348.45,Pending
RET000207,ORD038046,PROD00294,2025-12-13,1,Other,72.62,Approved
RET000208,ORD019298,PROD00229,2025-10-26,9,Wrong Item,1146.15,Approved
RET000209,ORD017678,PROD00474,2025-12-07,1,Wrong Item,60.11,Approved
RET000210,ORD011699,PROD00407,2025-07-29,3,Changed Mind,41.01,Approved
RET000211,ORD033645,PROD00056,2025-05-03,3,Changed Mind,218.07,Rejected
RET000212,ORD031806,PROD00028,2026-01-09,2,Late Delivery,74.18,Approved
RET000213,ORD040668,PROD00234,2025-05-17,1,Wrong Item,115.94,Approved
RET000214,ORD043369,PROD00431,2025-09-19,4,Changed Mind,268.52,Approved
RET000215,ORD018069,PROD00091,2025-04-10,2,Other,113.78,Approved
RET000216,ORD007788,PROD00269,2025-05-25,4,Damaged,613.92,Approved
RET000217,ORD012781,PROD00065,2026-04-20,4,Quality Issue,297.16,Approved
RET000218,ORD042836,PROD00307,2025-12-10,1,Late Delivery,223.91,Approved
RET000219,ORD036773,PROD00043,2025-05-11,4,Wrong Item,323.0,Approved
RET000220,ORD008890,PROD00145,2025-11-01,4,Changed Mind,316.16,Approved
RET000221,ORD041586,PROD00355,2026-03-14,3,Late Delivery,269.22,Approved
RET000222,ORD048384,PROD00224,2025-06-07,4,Changed Mind,370.64,Rejected
RET000223,ORD011833,PROD00057,2025-03-24,1,Damaged,29.53,Approved
RET000224,ORD007332,PROD00364,2026-07-10,3,Other,335.73,Approved
RET000225,ORD044259,PROD00421,2026-07-15,5,Late Delivery,63.15,Approved
RET000226,ORD043297,PROD00260,2025-06-28,1,Other,231.06,Approved
RET000227,ORD035359,PROD00079,2026-07-17,2,Late Delivery,93.54,Pending
RET000228,ORD006454,PROD00457,2025-11-02,2,Other,362.34,Approved
RET000229,ORD025948,PROD00309,2025-12-06,9,Late Delivery,397.98,Approved
RET000230,ORD040819,PROD00005,2026-07-23,7,Not as Described,544.53,Pending
RET000231,ORD047525,PROD00427,2025-06-07,1,Quality Issue,185.42,Approved
RET000232,ORD048741,PROD00411,2025-06-09,1,Quality Issue,151.02,Approved
RET000233,ORD000867,PROD00292,2025-12-23,2,Late Delivery,65.88,Approved
RET000234,ORD040626,PROD00258,2025-06-17,4,Changed Mind,224.12,Pending
RET000235,ORD010886,PROD00127,2025-06-29,3,Not as Described,301.89,Approved
RET000236,ORD009880,PROD00178,2025-06-01,2,Wrong Item,21.54,Approved
RET000237,ORD024288,PROD00430,2026-04-23,10,Late Delivery,1152.1,Approved
RET000238,ORD004868,PROD00067,2025-11-04,1,Quality Issue,147.9,Pending
RET000239,ORD014894,PROD00307,2026-06-01,8,Late Delivery,1791.28,Approved
RET000240,ORD032444,PROD00104,2026-03-31,3,Wrong Item,531.75,Approved
RET000241,ORD014487,PROD00018,2025-02-03,3,Other,102.12,Approved
RET000242,ORD016371,PROD00124,2025-12-22,1,Late Delivery,51.14,Approved
RET000243,ORD041864,PROD00083,2026-06-12,9,Damaged,1656.63,Approved
RET000244,ORD025138,PROD00010,2026-07-06,2,Not as Described,85.22,Approved
RET000245,ORD040280,PROD00481,2025-04-08,2,Other,295.02,Approved
RET000246,ORD010036,PROD00307,2025-05-22,6,Other,1343.46,Approved
RET000247,ORD021297,PROD00258,2026-07-15,1,Changed Mind,56.03,Approved
RET000248,ORD019686,PROD00030,2025-03-18,2,Quality Issue,219.44,Approved
RET000249,ORD035200,PROD00434,2026-03-30,3,Changed Mind,444.0,Approved
RET000250,ORD022909,PROD00185,2025-11-26,1,Changed Mind,42.57,Approved
RET000251,ORD004934,PROD00137,2025-11-18,3,Not as Described,77.16,Rejected
RET000252,ORD028319,PROD00499,2025-12-29,7,Wrong Item,774.48,Approved
RET000253,ORD038200,PROD00145,2025-10-05,9,Other,711.36,Approved
RET000254,ORD025724,PROD00216,2026-03-20,3,Quality Issue,413.19,Approved
RET000255,ORD036026,PROD00159,2025-02-22,1,Damaged,41.1,Approved
RET000256,ORD029767,PROD00413,2025-08-17,4,Quality Issue,190.32,Approved
RET000257,ORD003783,PROD00394,2026-01-10,4,Quality Issue,568.72,Approved
RET000258,ORD030117,PROD00353,2025-04-10,5,Changed Mind,739.95,Approved
RET000259,ORD007213,PROD00117,2025-08-15,4,Damaged,609.56,Rejected
RET000260,ORD009555,PROD00487,2026-02-26,3,Wrong Item,146.19,Pending
RET000261,ORD049576,PROD00411,2026-03-31,2,Other,302.04,Approved
RET000262,ORD018569,PROD00416,2025-08-03,1,Wrong Item,119.22,Approved
RET000263,ORD049360,PROD00018,2026-02-13,1,Quality Issue,34.04,Approved
RET000264,ORD037449,PROD00075,2026-06-07,4,Not as Described,156.16,Rejected
RET000265,ORD033051,PROD00425,2025-02-11,5,Not as Described,944.6,Approved
RET000266,ORD035650,PROD00423,2026-05-25,2,Wrong Item,115.9,Approved
RET000267,ORD010388,PROD00351,2026-06-06,8,Not as Described,1440.56,Approved
RET000268,ORD045415,PROD00265,2025-07-07,4,Changed Mind,830.64,Approved
RET000269,ORD026875,PROD00175,2025-12-09,2,Quality Issue,61.26,Approved
RET000270,ORD015675,PROD00068,2026-01-05,1,Wrong Item,42.56,Approved
RET000271,ORD047307,PROD00238,2026-03-01,1,Not as Described,154.94,Rejected
RET000272,ORD022731,PROD00222,2026-05-24,3,Not as Described,163.5,Approved
RET000273,ORD035255,PROD00134,2026-01-26,1,Other,17.48,Approved
RET000274,ORD028526,PROD00441,2026-07-12,1,Wrong Item,99.27,Approved
RET000275,ORD029213,PROD00070,2026-01-20,3,Changed Mind,496.95,Approved
RET000276,ORD027722,PROD00041,2025-06-17,1,Changed Mind,18.82,Approved
RET000277,ORD040002,PROD00411,2025-07-16,1,Not as Described,151.02,Approved
RET000278,ORD032703,PROD00450,2025-11-27,3,Wrong Item,216.51,Approved
RET000279,ORD042393,PROD00437,2026-07-16,1,Wrong Item,91.71,Approved
RET000280,ORD032452,PROD00127,2025-07-11,2,Wrong Item,201.26,Rejected
RET000281,ORD005843,PROD00128,2025-03-27,1,Wrong Item,207.41,Approved
RET000282,ORD049474,PROD00227,2026-02-03,2,Late Delivery,70.18,Approved
RET000283,ORD048582,PROD00459,2026-06-26,3,Late Delivery,123.0,Pending
RET000284,ORD002326,PROD00214,2026-01-14,3,Other,305.73,Approved
RET000285,ORD011879,PROD00497,2025-04-02,8,Not as Described,398.32,Approved
RET000286,ORD029267,PROD00086,2026-05-18,7,Changed Mind,996.45,Approved
RET000287,ORD030396,PROD00119,2025-11-02,6,Other,140.58,Approved
RET000288,ORD024977,PROD00138,2025-10-19,2,Late Delivery,319.22,Approved
RET000289,ORD001650,PROD00170,2026-01-04,1,Changed Mind,205.51,Approved
RET000290,ORD042587,PROD00299,2025-06-14,2,Quality Issue,236.84,Approved
RET000291,ORD023208,PROD00114,2025-02-02,1,Late Delivery,50.29,Approved
RET000292,ORD036416,PROD00060,2025-04-16,2,Changed Mind,95.84,Approved
RET000293,ORD040195,PROD00182,2025-07-06,2,Other,131.94,Approved
RET000294,ORD048400,PROD00249,2026-03-01,5,Other,951.75,Approved
RET000295,ORD033540,PROD00418,2025-06-20,4,Damaged,426.4,Approved
RET000296,ORD023683,PROD00252,2026-04-14,3,Quality Issue,105.6,Pending
RET000297,ORD044773,PROD00080,2026-06-22,7,Not as Described,443.38,Approved
RET000298,ORD032209,PROD00307,2026-01-15,2,Late Delivery,447.82,Approved
RET000299,ORD047585,PROD00066,2026-07-16,2,Wrong Item,272.58,Approved
RET000300,ORD012018,PROD00173,2025-02-20,1,Not as Described,43.24,Approved
RET000301,ORD026403,PROD00010,2025-02-11,5,Late Delivery,213.05,Approved
RET000302,ORD036794,PROD00321,2025-02-09,7,Not as Described,480.97,Approved
RET000303,ORD022968,PROD00226,2026-05-12,1,Not as Described,145.83,Approved
RET000304,ORD002937,PROD00442,2026-01-13,2,Quality Issue,254.84,Approved
RET000305,ORD003457,PROD00499,2026-01-08,1,Quality Issue,110.64,Approved
RET000306,ORD043585,PROD00265,2026-07-02,5,Damaged,1038.3,Approved
RET000307,ORD025998,PROD00020,2026-02-14,1,Damaged,75.9,Approved
RET000308,ORD009519,PROD00238,2025-10-20,1,Changed Mind,154.94,Approved
RET000309,ORD049537,PROD00129,2026-04-25,3,Wrong Item,426.93,Approved
RET000310,ORD046099,PROD00135,2025-11-11,1,Other,65.54,Approved
RET000311,ORD020405,PROD00238,2026-04-26,2,Other,309.88,Approved
RET000312,ORD025152,PROD00424,2025-10-09,1,Quality Issue,157.44,Approved
RET000313,ORD001354,PROD00425,2025-02-11,3,Not as Described,566.76,Approved
RET000314,ORD037356,PROD00355,2025-06-24,2,Wrong Item,179.48,Approved
RET000315,ORD043222,PROD00349,2025-10-07,2,Quality Issue,423.72,Rejected
RET000316,ORD036808,PROD00265,2025-04-15,3,Late Delivery,622.98,Approved
RET000317,ORD030274,PROD00432,2026-03-08,1,Not as Described,66.78,Approved
RET000318,ORD014042,PROD00414,2025-08-12,1,Not as Described,61.21,Approved
RET000319,ORD035616,PROD00422,2025-07-05,3,Other,388.2,Approved
RET000320,ORD029053,PROD00236,2025-12-08,3,Late Delivery,361.32,Approved
RET000321,ORD047815,PROD00314,2026-07-22,5,Damaged,272.35,Pending
RET000322,ORD013783,PROD00288,2026-06-14,1,Wrong Item,38.75,Approved
RET000323,ORD014579,PROD00238,2025-07-23,5,Wrong Item,774.7,Approved
RET000324,ORD029246,PROD00182,2025-06-08,5,Wrong Item,329.85,Approved
RET000325,ORD043801,PROD00354,2025-09-30,3,Damaged,335.97,Approved
RET000326,ORD035403,PROD00421,2026-05-15,7,Damaged,88.41,Approved
RET000327,ORD017577,PROD00473,2025-04-24,2,Quality Issue,140.88,Approved
RET000328,ORD024542,PROD00069,2025-09-10,6,Quality Issue,795.54,Approved
RET000329,ORD023611,PROD00121,2026-05-06,10,Other,1273.4,Approved
RET000330,ORD047643,PROD00020,2026-02-25,2,Changed Mind,151.8,Approved
RET000331,ORD047236,PROD00144,2025-06-28,5,Not as Described,560.25,Approved
RET000332,ORD001566,PROD00303,2025-10-08,1,Damaged,194.8,Approved
RET000333,ORD002533,PROD00126,2026-02-22,3,Damaged,506.43,Rejected
RET000334,ORD035951,PROD00256,2025-08-30,9,Wrong Item,710.64,Approved
RET000335,ORD031866,PROD00157,2025-03-13,1,Late Delivery,18.92,Pending
RET000336,ORD026809,PROD00453,2025-05-30,3,Late Delivery,180.57,Approved
RET000337,ORD003490,PROD00084,2025-10-18,6,Not as Described,295.26,Approved
RET000338,ORD034525,PROD00055,2026-01-07,1,Other,45.22,Approved
RET000339,ORD033155,PROD00315,2026-01-05,1,Quality Issue,133.86,Approved
RET000340,ORD014730,PROD00377,2025-02-12,1,Other,44.3,Approved
RET000341,ORD026050,PROD00333,2026-01-05,8,Late Delivery,1284.4,Approved
RET000342,ORD021142,PROD00166,2025-11-22,1,Wrong Item,173.59,Approved
RET000343,ORD038406,PROD00479,2026-06-16,1,Quality Issue,69.65,Approved
RET000344,ORD012463,PROD00063,2025-11-19,2,Changed Mind,249.7,Approved
RET000345,ORD046972,PROD00233,2026-05-23,1,Not as Described,127.44,Approved
RET000346,ORD029568,PROD00093,2026-06-19,5,Quality Issue,391.8,Approved
